row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2021Triệu VND,31/12/2020Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2021Triệu VND,numeric__31/12/2020Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,19,8.454.375,14.220,,19.0,8454375.0,14220.0
II,B > II,II,"Tiền gửi và vay các TCTD, tổ chức tài chính (""TCTC"") khác",20,114.619.106,56.511.282,,20.0,114619106.0,56511282.0
1,B > 1,1,Tiền gửi của các TCTD khác,,47.106.801,9.371.444,,,47106801.0,9371444.0
2,B > 2,2,"Vay các TCTD, TCTC khác",,67.512.305,47.139.838,,,67512305.0,47139838.0
III,B > III,III,Tiền gửi của khách hàng,21,241.837.028,233.427.953,,21.0,241837028.0,233427953.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,-,139.825,,9.0,,139825.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",22,103.930,187.156,,22.0,103930.0,187156.0
VI,B > VI,VI,Phát hành giấy tờ có giá,23,81.295.633,62.845.488,,23.0,81295633.0,62845488.0
VII,B > VII,VII,Các khoản nợ khác,24,14.821.220,13.107.101,,24.0,14821220.0,13107101.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,5.557.507,6.452.780,,,5557507.0,6452780.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,9.263.713,6.654.321,,,9263713.0,6654321.0
,,,TỔNG NỘ PHẢI TRẢ,,461.131.292,366.233.025,,,461131292.0,366233025.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,27,86.278.147,52.793.502,,27.0,86278147.0,52793502.0
1,B > 1,1,Vốn,,43.373.620,23.466.370,,,43373620.0,23466370.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,28,45.056.930,25.299.680,,28.0,45056930.0,25299680.0
\( c \),B > \( c \),\( c \),Thặng dư vốn cổ phần,,77.202,365.727,,,77202.0,365727.0
\( d \),B > \( d \),\( d \),Cổ phiếu quỹ,,(1.760.512),(2.199.037),,,-1760512.0,-2199037.0
2,B > 2,2,Các quỹ của tổ chức tín dụng,,12.558.832,11.911.768,,,12558832.0,11911768.0
5,B > 5,5,Lợi nhuận chưa phân phối,,22.439.214,17.415.364,,,22439214.0,17415364.0
6,B > 6,6,Lợi ích của cổ đông thiểu số,,7.906.481,-,,,7906481.0,
,,,TỔNG VỐN CHỦ SỞ HỮUTỔNG NỘ PHẢI TRẢ VÀVỐN CHỦ SỞ HỮU,,86.278.147,52.793.502,,,86278147.0,52793502.0
,,,TỔNG VỐN CHỦ SỞ HỮUTỔNG NỘ PHẢI TRẢ VÀVỐN CHỦ SỞ HỮU,,547.409.439,419.026.527,,,547409439.0,419026527.0
