row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcTriệu VND,Máy mócthiết bịTriệu VND,Phương tiệnvận tảiTriệu VND,Thiết bị dụngcụ quản lýTriệu VND,Tài sản cố địnhhửu hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Nhà cửa vàvật kiến trúcTriệu VND,numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận tảiTriệu VND,numeric__Thiết bị dụngcụ quản lýTriệu VND,numeric__Tài sản cố địnhhửu hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.016.630,1.028.706,156.670,126.821,69.314,2.398.141,1016630.0,1028706.0,156670.0,126821.0,69314.0,2398141.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,509,3.479,21.978,2.321,-,28.287,509.0,3479.0,21978.0,2321.0,,28287.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(14.135),(10.355),(1.930),(2.882),(29.302),,-14135.0,-10355.0,-1930.0,-2882.0,-29302.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,155.349,(42),6.308,284,161.899,,155349.0,-42.0,6308.0,284.0,161899.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.017.139,1.173.399,168.251,133.520,66.716,2.559.025,1017139.0,1173399.0,168251.0,133520.0,66716.0,2559025.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,93.270,812.228,114.373,104.121,61.986,1.185.978,93270.0,812228.0,114373.0,104121.0,61986.0,1185978.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,26.405,121.415,14.688,16.617,4.767,183.892,26405.0,121415.0,14688.0,16617.0,4767.0,183892.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(14.110),(8.923),(1.887),(2.882),(27.802),,-14110.0,-8923.0,-1887.0,-2882.0,-27802.0
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,-,53,(42),(11),-,-,,53.0,-42.0,-11.0,,
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,119.675,919.586,120.096,118.840,63.871,1.342.068,119675.0,919586.0,120096.0,118840.0,63871.0,1342068.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,923.360,216.478,42.297,22.700,7.328,1.212.163,923360.0,216478.0,42297.0,22700.0,7328.0,1212163.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,897.464,253.813,48.155,14.680,2.845,1.216.957,897464.0,253813.0,48155.0,14680.0,2845.0,1216957.0
