row_label_raw,row_label_full,col_0,2021Triệu VND,2020Triệu VND,numeric__2021Triệu VND,numeric__2020Triệu VND
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,
Dịch vụ thanh toán và ngân quỹ,Thu nhập từ hoạt động dịch vụ > Dịch vụ thanh toán và ngân quỹ,Dịch vụ thanh toán và ngân quỹ,1.358.023,1.016.825,1358023.0,1016825.0
Kinh doanh và dịch vụ đại lý bảo hiểm,Thu nhập từ hoạt động dịch vụ > Kinh doanh và dịch vụ đại lý bảo hiểm,Kinh doanh và dịch vụ đại lý bảo hiểm,2.362.235,2.574.493,2362235.0,2574493.0
Dịch vụ tư vấn,Thu nhập từ hoạt động dịch vụ > Dịch vụ tư vấn,Dịch vụ tư vấn,190.091,312.479,190091.0,312479.0
Thu khác,Thu nhập từ hoạt động dịch vụ > Thu khác,Thu khác,2.973.712,2.262.956,2973712.0,2262956.0
,,,6.884.061,6.166.753,6884061.0,6166753.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,
Dịch vụ thanh toán và ngân quỹ,Chi phí hoạt động dịch vụ > Dịch vụ thanh toán và ngân quỹ,Dịch vụ thanh toán và ngân quỹ,(264.710),(248.285),-264710.0,-248285.0
Dịch vụ tư vấn,Chi phí hoạt động dịch vụ > Dịch vụ tư vấn,Dịch vụ tư vấn,(8.450),(16.766),-8450.0,-16766.0
Hoa hồng môi giới,Chi phí hoạt động dịch vụ > Hoa hồng môi giới,Hoa hồng môi giới,(1.008.243),(1.363.950),-1008243.0,-1363950.0
Chi khác,Chi phí hoạt động dịch vụ > Chi khác,Chi khác,(1.543.627),(1.181.625),-1543627.0,-1181625.0
,,,(2.825.030),(2.810.626),-2825030.0,-2810626.0
Lãi thuần từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,4.059.031,3.356.127,4059031.0,3356127.0
