row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2021Phải trảTriệu VND > 49.018,Số phát sinh trong năm > Phát sinh tăngTriệu VND > 363.841,Số phát sinh trong năm > Phát sinh giảmTriệu VND > (352.695),31/12/2021Phải trảTriệu VND > 60.164,numeric__1/1/2021Phải trảTriệu VND > 49.018,numeric__Số phát sinh trong năm > Phát sinh tăngTriệu VND > 363.841,numeric__Số phát sinh trong năm > Phát sinh giảmTriệu VND > (352.695),numeric__31/12/2021Phải trảTriệu VND > 60.164
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.169.201,6.956.963,(3.581.137),4.545.027,1169201.0,6956963.0,-3581137.0,4545027.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,127.732,548.006,(591.824),83.914,127732.0,548006.0,-591824.0,83914.0
,,,1.345.951,7.868.810,(4.525.656),4.689.105,1345951.0,7868810.0,-4525656.0,4689105.0
