row_label_raw,row_label_full,col_0,Quyền thu phí hoàn vốn Dự án B.O.T (*),Quyền sử dụng đất,Chương trình phần mềm,Bản quyền,Tài sản khác,Tổng cộng,numeric__Quyền thu phí hoàn vốn Dự án B.O.T (*),numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Bản quyền,numeric__Tài sản khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,548.066.173.755,101.854.072.005,31.499.684.630,3.247.354.120,8.349.028.561,693.016.313.071,548066173755.0,101854072005.0,31499684630.0,3247354120.0,8349028561.0,693016313071.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,2.402.000.000,-,3.416.000.000,5.818.000.000,,,2402000000.0,,3416000000.0,5818000000.0
Giám trong năm,NGUYÊN GIÁ > Giám trong năm,Giám trong năm,(1.464.097.876),(1.789.508.560),-,-,-,(3.253.606.436),-1464097876.0,-1789508560.0,,,,-3253606436.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,546.602.075.879,100.064.563.445,33.901.684.630,3.247.354.120,11.765.028.561,695.580.706.635,546602075879.0,100064563445.0,33901684630.0,3247354120.0,11765028561.0,695580706635.0
GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,8.079.353.117,9.717.048.615,28.542.756.212,3.247.354.120,2.514.716.927,52.101.228.991,8079353117.0,9717048615.0,28542756212.0,3247354120.0,2514716927.0,52101228991.0
Khấu hao trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,31.115.451.488,519.964.395,1.190.597.892,-,968.669.430,33.794.683.205,31115451488.0,519964395.0,1190597892.0,,968669430.0,33794683205.0
Giám trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Giám trong năm,Giám trong năm,(79.668.809),(1.789.508.560),-,-,-,(1.869.177.369),-79668809.0,-1789508560.0,,,,-1869177369.0
Số dư cuối năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,39.115.135.796,8.447.504.450,29.733.354.104,3.247.354.120,3.483.386.357,84.026.734.827,39115135796.0,8447504450.0,29733354104.0,3247354120.0,3483386357.0,84026734827.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,539.986.820.638,92.137.023.390,2.956.928.418,-,5.834.311.634,640.915.084.080,539986820638.0,92137023390.0,2956928418.0,,5834311634.0,640915084080.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,507.486.940.083,91.617.058.995,4.168.330.526,-,8.281.642.204,611.553.971.808,507486940083.0,91617058995.0,4168330526.0,,8281642204.0,611553971808.0
