row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,"Phương tiện vận tải, thiết bị truyền dẫn VND",Thiết bị văn phòng VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,"numeric__Phương tiện vận tải, thiết bị truyền dẫn VND",numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.607.833.929.909,9.225.119.108.172,315.882.388.952,58.947.919.859,697.459.364.166,13.905.242.711.058,3607833929909.0,9225119108172.0,315882388952.0,58947919859.0,697459364166.0,13905242711058.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,651.360.000,14.023.191.572,5.499.742.727,1.234.915.300,-,21.409.209.599,651360000.0,14023191572.0,5499742727.0,1234915300.0,,21409209599.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,28.084.008.797,869.450.101,-,-,-,28.953.458.898,28084008797.0,869450101.0,,,,28953458898.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.307.686.207),(18.686.994.291),(40.137.823.795),(593.530.887),-,(63.726.035.180),-4307686207.0,-18686994291.0,-40137823795.0,-593530887.0,,-63726035180.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.632.261.612.499,9.221.324.755.554,281.244.307.884,59.589.304.272,697.459.364.166,13.891.879.344.375,3632261612499.0,9221324755554.0,281244307884.0,59589304272.0,697459364166.0,13891879344375.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.999.976.742.898,6.716.373.444.193,280.468.115.279,47.958.093.150,427.628.287.163,9.472.404.682.683,1999976742898.0,6716373444193.0,280468115279.0,47958093150.0,427628287163.0,9472404682683.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,113.330.815.731,401.631.886.706,6.405.868.260,3.568.542.296,24.025.076.467,548.962.189.460,113330815731.0,401631886706.0,6405868260.0,3568542296.0,24025076467.0,548962189460.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.300.720.607),(18.686.994.291),(40.137.823.795),(593.530.887),-,(63.719.069.580),-4300720607.0,-18686994291.0,-40137823795.0,-593530887.0,,-63719069580.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.109.006.838.022,7.099.318.336.608,246.736.159.744,50.933.104.559,451.653.363.630,9.957.647.802.563,2109006838022.0,7099318336608.0,246736159744.0,50933104559.0,451653363630.0,9957647802563.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÔN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.607.857.187.011,2.508.745.663.979,35.414.273.673,10.989.826.709,269.831.077.003,4.432.838.028.375,1607857187011.0,2508745663979.0,35414273673.0,10989826709.0,269831077003.0,4432838028375.0
Tại ngày cuối năm,GIÁ TRỊ CÔN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.523.254.774.477,2.122.006.418.946,34.508.148.140,8.656.199.713,245.806.000.536,3.934.231.541.812,1523254774477.0,2122006418946.0,34508148140.0,8656199713.0,245806000536.0,3934231541812.0
