row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > VND Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Ngân hàng Thương mại Cổ phần,Vay ngắn hạn > Ngân hàng Thương mại Cổ phần,Ngân hàng Thương mại Cổ phần,905.616.695.418,905.616.695.418,1.503.546.008.578,2.043.327.364.271,365.835.339.725,365.835.339.725,905616695418.0,905616695418.0,1503546008578.0,2043327364271.0,365835339725.0,365835339725.0
Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (i),Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (i),Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (i),,,,,,,,,,,,
Ngân hàng Thương mại Cổ phần,Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (i) > Ngân hàng Thương mại Cổ phần,Ngân hàng Thương mại Cổ phần,,-,128.666.015.605,36.782.855,128.629.232.750,128.629.232.750,,,128666015605.0,36782855.0,128629232750.0,128629232750.0
Quận đội - Chi nhánh Đông Sài Gòn (ii),Quận đội - Chi nhánh Đông Sài Gòn (ii),Quận đội - Chi nhánh Đông Sài Gòn (ii),,,,,,,,,,,,
Ngân hàng Thương mại Cổ phần,Quận đội - Chi nhánh Đông Sài Gòn (ii) > Ngân hàng Thương mại Cổ phần,Ngân hàng Thương mại Cổ phần,136.670.976.986,136.670.976.986,328.407.549.176,416.857.644.561,48.220.881.601,48.220.881.601,136670976986.0,136670976986.0,328407549176.0,416857644561.0,48220881601.0,48220881601.0
Á Châu - Chi nhánh Nguyễn Văn Trỗi (iii),Á Châu - Chi nhánh Nguyễn Văn Trỗi (iii),Á Châu - Chi nhánh Nguyễn Văn Trỗi (iii),,,,,,,,,,,,
Ngân hàng Thương mại Cổ phần,Á Châu - Chi nhánh Nguyễn Văn Trỗi (iii) > Ngân hàng Thương mại Cổ phần,Ngân hàng Thương mại Cổ phần,469.102.288.547,469.102.288.547,870.607.240.239,1.293.056.296.725,46.653.232.061,46.653.232.061,469102288547.0,469102288547.0,870607240239.0,1293056296725.0,46653232061.0,46653232061.0
Công thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (iv),Công thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (iv),Công thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (iv),,,,,,,,,,,,
Ngân hàng TNHH MTV Shinhan Việt Nam,Công thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (iv) > Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,,-,107.962.453.091,107.962.453.091,-,-,,,107962453091.0,107962453091.0,,
,,,1.511.389.960.951,1.511.389.960.951,2.939.189.266.689,3.861.240.541.503,589.338.686.137,589.338.686.137,1511389960951.0,1511389960951.0,2939189266689.0,3861240541503.0,589338686137.0,589338686137.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Ngân hàng Thương mại Cổ phần,Vay dài hạn > Ngân hàng Thương mại Cổ phần,Ngân hàng Thương mại Cổ phần,-,-,28.431.860.606,-,28.431.860.606,28.431.860.606,,,28431860606.0,,28431860606.0,28431860606.0
Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (v),Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (v),Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (v),,,,,,,,,,,,
,,,-,-,28.431.860.606,-,28.431.860.606,28.431.860.606,,,28431860606.0,,28431860606.0,28431860606.0
