row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năngtrả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngân hàng(Thuyết minh số 21.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng(Thuyết minh số 21.1),Vay ngắn hạn ngân hàng(Thuyết minh số 21.1),2.461.239.173.219,2.461.239.173.219,6.616.606.413.267,(6.223.080.751.590),2.854.764.834.896,2.854.764.834.896,2461239173219.0,2461239173219.0,6616606413267.0,-6223080751590.0,2854764834896.0,2854764834896.0
Vay dài hạn đến hạn trả(Thuyết minh số 21.2),Vay ngắn hạn > Vay dài hạn đến hạn trả(Thuyết minh số 21.2),Vay dài hạn đến hạn trả(Thuyết minh số 21.2),166.393.171.538,166.393.171.538,311.304.029.898,(214.649.047.940),263.048.153.496,263.048.153.496,166393171538.0,166393171538.0,311304029898.0,-214649047940.0,263048153496.0,263048153496.0
Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 21.3),Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 21.3),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 21.3),82.534.565.430,82.534.565.430,141.876.950.219,(105.065.955.727),119.345.559.922,119.345.559.922,82534565430.0,82534565430.0,141876950219.0,-105065955727.0,119345559922.0,119345559922.0
Vay đối tượng khác(Thuyết minh số 21.5),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 21.5),Vay đối tượng khác(Thuyết minh số 21.5),400.000.000,400.000.000,660.000.000,(400.000.000),660.000.000,660.000.000,400000000.0,400000000.0,660000000.0,-400000000.0,660000000.0,660000000.0
,,,2.710.566.910.187,2.710.566.910.187,7.070.447.393.384,(6.543.195.755.257),3.237.818.548.314,3.237.818.548.314,2710566910187.0,2710566910187.0,7070447393384.0,-6543195755257.0,3237818548314.0,3237818548314.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 21.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 21.2),Vay ngân hàng(Thuyết minh số 21.2),974.591.201.573,974.591.201.573,513.054.051.309,(408.599.419.612),1.079.045.833.270,1.079.045.833.270,974591201573.0,974591201573.0,513054051309.0,-408599419612.0,1079045833270.0,1079045833270.0
Nợ thuê tài chính(Thuyết minh số 21.3),Vay dài hạn > Nợ thuê tài chính(Thuyết minh số 21.3),Nợ thuê tài chính(Thuyết minh số 21.3),148.568.788.806,148.568.788.806,262.331.952.292,(166.831.946.582),242.184.129.516,242.184.129.516,148568788806.0,148568788806.0,262331952292.0,-166831946582.0,242184129516.0,242184129516.0
Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh(Thuyết minh số 21.4),Vay dài hạn > Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh(Thuyết minh số 21.4),Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh(Thuyết minh số 21.4),94.000.000.000,94.000.000.000,-,-,94.000.000.000,94.000.000.000,94000000000.0,94000000000.0,,,94000000000.0,94000000000.0
Vay đối tượng khác,Vay dài hạn > Vay đối tượng khác,Vay đối tượng khác,70.000.000.000,70.000.000.000,-,(70.000.000.000),-,-,70000000000.0,70000000000.0,,-70000000000.0,,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.287.159.990.379,1.287.159.990.379,775.386.003.601,(645.431.366.194),1.415.229.962.786,1.415.229.962.786,1287159990379.0,1287159990379.0,775386003601.0,-645431366194.0,1415229962786.0,1415229962786.0
