row_label_raw,row_label_full,col_0,"Máy móc, thiết bị",Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,542.562.131.977,15.407.190.000,557.969.321.977,542562131977.0,15407190000.0,557969321977.0
Thuê thêm trong năm,Nguyên giá: > Thuê thêm trong năm,Thuê thêm trong năm,292.101.097.669,1.375.733.341,293.476.831.010,292101097669.0,1375733341.0,293476831010.0
(Giảm)/tăng khác,Nguyên giá: > (Giảm)/tăng khác,(Giảm)/tăng khác,(9.384.300.000),9.384.300.000,-,-9384300000.0,9384300000.0,
Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),Nguyên giá: > Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),(83.856.864.722),(10.715.040.000),(94.571.904.722),-83856864722.0,-10715040000.0,-94571904722.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,741.422.064.924,15.452.183.341,756.874.248.265,741422064924.0,15452183341.0,756874248265.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,122.466.240.869,12.482.536.591,134.948.777.460,122466240869.0,12482536591.0,134948777460.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,54.646.345.182,1.794.174.480,56.440.519.662,54646345182.0,1794174480.0,56440519662.0
Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),Giá trị khấu hao lũy kế: > Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),Phân loại sang TSCĐ hữu hình (Thuyết minh số 9),(35.498.562.122),(7.816.319.511),(43.314.881.633),-35498562122.0,-7816319511.0,-43314881633.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,141.614.023.929,6.460.391.560,148.074.415.489,141614023929.0,6460391560.0,148074415489.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,420.095.891.108,2.924.653.409,423.020.544.517,420095891108.0,2924653409.0,423020544517.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,599.808.040.995,8.991.791.781,608.799.832.776,599808040995.0,8991791781.0,608799832776.0
