row_label_raw,row_label_full,col_0,Số đầu năm,Số phát sinh trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phát sinh trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,42.136.590,73.107.369.041,(72.524.988.117),624.517.514,42136590.0,73107369041.0,-72524988117.0,624517514.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,28.573.384.437,39.921.204.333,(54.591.843.914),13.902.744.856,28573384437.0,39921204333.0,-54591843914.0,13902744856.0
Tiền sử dụng đất,Phải nộp > Tiền sử dụng đất,Tiền sử dụng đất,-,53.775.275.811,(51.539.612.711),2.235.663.100,,53775275811.0,-51539612711.0,2235663100.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,45.266.404,(43.724.577),1.541.827,,45266404.0,-43724577.0,1541827.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,4.271.331.184,(4.088.675.572),182.655.612,,4271331184.0,-4088675572.0,182655612.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,28.615.521.027,171.120.446.773,(182.788.844.891),16.947.122.909,28615521027.0,171120446773.0,-182788844891.0,16947122909.0
,,,Số đầu năm,Số kê khai hoàn trong năm,Số đã cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,143.213.006.458,187.567.374.326,(173.229.350.235),157.551.030.549,143213006458.0,187567374326.0,-173229350235.0,157551030549.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,143.213.006.458,187.567.374.326,(173.229.350.235),157.551.030.549,143213006458.0,187567374326.0,-173229350235.0,157551030549.0
