row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Sản xuất và bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Kinh doanh bất động sản và dịch vụ xây lắp > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,"Sản xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày",Điều chỉnh và loại trừ > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Sản xuất và bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Kinh doanh bất động sản và dịch vụ xây lắp > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,"numeric__Sản xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày",numeric__Điều chỉnh và loại trừ > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,2.307.878.163.566,265.516.461.417,4.613.362.548.766,-,7.186.757.173.749,2307878163566.0,265516461417.0,4613362548766.0,,7186757173749.0
Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,5.280.088.881.019,60.116.974.953,2.511.443.562.263,(7.851.649.418.235),-,5280088881019.0,60116974953.0,2511443562263.0,-7851649418235.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,7.587.967.044.585,325.633.436.370,7.124.806.111.029,(7.851.649.418.235),7.186.757.173.749,7587967044585.0,325633436370.0,7124806111029.0,-7851649418235.0,7186757173749.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,243.105.798.984,63.765.213.152,79.066.646.168,(40.886.211.747),345.051.446.557,243105798984.0,63765213152.0,79066646168.0,-40886211747.0,345051446557.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(27.379.065.182),(9.961.441.132),(2.580.698.019),-,(39.921.204.333),-27379065182.0,-9961441132.0,-2580698019.0,,-39921204333.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,215.726.733.802,53.803.772.020,76.485.948.149,(40.886.211.747),305.130.242.224,215726733802.0,53803772020.0,76485948149.0,-40886211747.0,305130242224.0
Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,,,,,
Tổng tài sản,Tải sản và nợ phải trả > Tổng tài sản,Tổng tài sản,6.624.266.876.555,637.458.105.797,4.657.179.156.814,(2.326.979.216.166),9.591.924.923.000,6624266876555.0,637458105797.0,4657179156814.0,-2326979216166.0,9591924923000.0
Tài sản bộ phận,Tải sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,6.624.266.876.555,637.458.105.797,4.657.179.156.814,(3.063.549.824.150),8.855.354.315.016,6624266876555.0,637458105797.0,4657179156814.0,-3063549824150.0,8855354315016.0
Tài sản không phân bổ (*),Tải sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),-,-,-,736.570.607.984,736.570.607.984,,,,736570607984.0,736570607984.0
Tổng nợ phải trả,Tải sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,5.614.805.035.980,169.122.991.001,4.051.074.914.649,(3.269.035.497.490),6.565.967.444.140,5614805035980.0,169122991001.0,4051074914649.0,-3269035497490.0,6565967444140.0
Nợ phải trả bộ phận,Tải sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,5.614.805.035.980,169.122.991.001,4.051.074.914.649,(3.269.035.497.490),6.565.967.444.140,5614805035980.0,169122991001.0,4051074914649.0,-3269035497490.0,6565967444140.0
