row_label_raw,row_label_full,col_0,Công ty Cổ phầnTranseco,Công ty TNHHChế biến thựcphẩm Dabaco,Tổng cộng,numeric__Công ty Cổ phầnTranseco,numeric__Công ty TNHHChế biến thựcphẩm Dabaco,numeric__Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,20.000.000.000,90.000.000.000,110.000.000.000,20000000000.0,90000000000.0,110000000000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,20.000.000.000,90.000.000.000,110.000.000.000,20000000000.0,90000000000.0,110000000000.0
Phần lũy kế lỗ sau khi mua công ty liên kết:,Phần lũy kế lỗ sau khi mua công ty liên kết:,Phần lũy kế lỗ sau khi mua công ty liên kết:,Phần lũy kế lỗ sau khi mua công ty liên kết:,Phần lũy kế lỗ sau khi mua công ty liên kết:,Phần lũy kế lỗ sau khi mua công ty liên kết:,,,
Số đầu năm,Phần lũy kế lỗ sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,-,(22.766.306.918),(22.766.306.918),,-22766306918.0,-22766306918.0
- Phần lợi nhuận/(lỗ) sau khimua công ty liên kết,Phần lũy kế lỗ sau khi mua công ty liên kết: > - Phần lợi nhuận/(lỗ) sau khimua công ty liên kết,- Phần lợi nhuận/(lỗ) sau khimua công ty liên kết,2.000.000.000,(750.235.000),1.249.765.000,2000000000.0,-750235000.0,1249765000.0
- Cổ tức được chia trong năm,Phần lũy kế lỗ sau khi mua công ty liên kết: > - Cổ tức được chia trong năm,- Cổ tức được chia trong năm,(2.000.000.000),-,(2.000.000.000),-2000000000.0,,-2000000000.0
Số cuối năm,Phần lũy kế lỗ sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,-,(23.516.541.918),(23.516.541.918),,-23516541918.0,-23516541918.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,20.000.000.000,67.233.693.082,87.233.693.082,20000000000.0,67233693082.0,87233693082.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,20.000.000.000,66.483.458.082,86.483.458.082,20000000000.0,66483458082.0,86483458082.0
