row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Đơn vị tính: VND > Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Đơn vị tính: VND > Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2)
Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,,,,,,
Thực phẩm Dabaco,Công ty Cổ phần Chế biến > Thực phẩm Dabaco,Thực phẩm Dabaco,Công ty liên kết,15.000.000.000,15.000.000.000,,15000000000.0,15000000000.0
Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Công ty Cổ phần Chế biến > Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
Phải trả người bán (Thuyết minh số 16),Phải trả người bán (Thuyết minh số 16),Phải trả người bán (Thuyết minh số 16),Phải trả người bán (Thuyết minh số 16),Phải trả người bán (Thuyết minh số 16),Phải trả người bán (Thuyết minh số 16),,,
Công ty Cổ phần Transeco,Phải trả người bán (Thuyết minh số 16) > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,16.020.369.240,12.875.368.651,,16020369240.0,12875368651.0
Người mua trả tiền trước (Thuyết minh số 17),Người mua trả tiền trước (Thuyết minh số 17),Người mua trả tiền trước (Thuyết minh số 17),Người mua trả tiền trước (Thuyết minh số 17),Người mua trả tiền trước (Thuyết minh số 17),Người mua trả tiền trước (Thuyết minh số 17),,,
Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,,,,,,
Thực phẩm Dabaco,Công ty Cổ phần Chế biến > Thực phẩm Dabaco,Thực phẩm Dabaco,Công ty liên kết,42.210.000,28.116.000,,42210000.0,28116000.0
