row_label_raw,row_label_full,col_0,Chi phí di vay trả trước VND,Chi phí khác VND,Tổng VND,numeric__Chi phí di vay trả trước VND,numeric__Chi phí khác VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,106.656.356.473,4.312.613.838,110.968.970.311,106656356473.0,4312613838.0,110968970311.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,147.895.412.500,932.294.500,148.827.707.000,147895412500.0,932294500.0,148827707000.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(64.613.316.175),(2.381.283.512),(66.994.599.687),-64613316175.0,-2381283512.0,-66994599687.0
Giảm trong kỳ liên quan tất toán khoản vay trước hạn,Giảm trong kỳ liên quan tất toán khoản vay trước hạn,Giảm trong kỳ liên quan tất toán khoản vay trước hạn,(54.367.657.979),-,(54.367.657.979),-54367657979.0,,-54367657979.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,135.570.794.819,2.863.624.826,138.434.419.645,135570794819.0,2863624826.0,138434419645.0
