row_label_raw,row_label_full,Tên công ty,Được thành lập theo,Ngành hoạt động,Vốn điều lệ (VND),numeric__Được thành lập theo,numeric__Ngành hoạt động,numeric__Vốn điều lệ (VND)
Công tyCổ phầnTập đoànPAN (PAN),Công tyCổ phầnTập đoànPAN (PAN),Công tyCổ phầnTập đoànPAN (PAN),"Giấy Chứng nhận Đăng kýDoanh nghiệp Công ty cổ phầnsố 0301472704 do Sở Kếhoạch và Đầu tư tính Long Ancấp ngày 20 tháng 12 năm2017 và các Giấy chứng nhậnđiều chỉnh tiếp theo. Ban đầu,Công ty hoạt động theo GiấyChứng nhận Đăng ký Kinhdoanh số 4103003790 do SởKế hoạch và Đầu tư Thành phốHồ Chí Minh cấp ngày 31 tháng8 năm 2005.","Trồng trot, chăn nuôi hỗn hợp; Hoạt động dịch vụ chăn nuôi; Dịch vụ sau thu hoạch; và Hoạt động dịch vụ trồng trot;Dịch vụ vệ sinh nhà cửa; Tư vấn đầu tư (trừ tư vấn tài chính); Dịch vụ tư vấn quản lý (trừ tư vấn tài chính, kinh tế, pháp luật); Dịch vụ nghiên cứu thị trường.",2.162.945.800.000,,,2162945800000.0
Quỹ Đầu tưcông nghệ sốvà Y tế ViệtNam,Quỹ Đầu tưcông nghệ sốvà Y tế ViệtNam,Quỹ Đầu tưcông nghệ sốvà Y tế ViệtNam,Giấy Chứng nhận Đăng ký lậpquỹ thành viên số 38/GCN-UBCK do Chủ tịch Ủy banchứng khoán nhà nước cápg ngày 29 tháng 9 năm 2021 vàgiấy chứng nhận điều chỉnh số53/GCN-UBCK ngày 15 tháng05 năm 2023.,Đầu tư vào chứng khoán hoặc các dạng tài sản đầu tư khác.,50.000.000.000,,,50000000000.0
