row_label_raw,row_label_full,col_0,Currency: VND,Currency: VND_1,numeric__Currency: VND,numeric__Currency: VND_1
,,,Ending balance,Beginning balance,,
Realized profit,Realized profit,Realized profit,"5,438,665,355,480","4,308,154,387,375",,
Unrealized profit,Unrealized profit,Unrealized profit,"(180,665,303,751)","(69,548,984,744)",,
- Unrealized profit and deferred tax from revaluation of financial assets at FVTPL and covered warrants payables in circulation,- Unrealized profit and deferred tax from revaluation of financial assets at FVTPL and covered warrants payables in circulation,- Unrealized profit and deferred tax from revaluation of financial assets at FVTPL and covered warrants payables in circulation,"(195,068,041,449)","71,131,318,074",,
- Unrealized profit from foreign exchange rate difference,- Unrealized profit from foreign exchange rate difference,- Unrealized profit from foreign exchange rate difference,"14,402,940,694","1,582,532,726",,
Total,Total,Total,"5,258,000,051,729","4,238,605,402,631",,
