row_label_raw,row_label_full,No.,Financial assets,Cost,Carrying value,Revaluation difference at the end of the year,Revaluation difference at the beginning of the year,Currency: VND Net gain/(loss) recorded this year,numeric__Financial assets,numeric__Cost,numeric__Carrying value,numeric__Revaluation difference at the end of the year,numeric__Revaluation difference at the beginning of the year,numeric__Currency: VND Net gain/(loss) recorded this year
II,II,II,AFS,"451,044,473,608","446,303,182,222","(4,741,291,386)","(4,741,291,386)",-,,,,,,
1,1,1,Unlisted shares,"342,764,891,142","338,023,599,756","(4,741,291,386)","(4,741,291,386)",-,,,,,,
2,2,2,Unlisted bonds,"108,279,582,466","108,279,582,466",-,-,-,,,,,,
,,,Total,"42,734,904,454,032","42,533,961,834,105","(200,942,619,927)","(110,570,790,904)","(90,371,829,023)",,,,,,
