row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lãi/(lỗ) bán chứng khoán năm nay VND,Lãi/(lỗ) bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lãi/(lỗ) bán chứng khoán năm nay VND,numeric__Lãi/(lỗ) bán chứng khoán năm trước VND
I,I,I,LÃI BÁN,,,,,,,,,,,
1,I > 1,1,Cổ phiếu và chứng khoán niêm yết (bao gồm cổ phiếu phòng ngừa rủi ro cho chứng quyền),354.554.198,10.772.429.226.315,10.460.985.669.745,311.443.556.570,138.965.851.233,,354554198.0,10772429226315.0,10460985669745.0,311443556570.0,138965851233.0
2,I > 2,2,Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,16.456.899,258.024.306.426,222.261.746.528,35.762.559.898,31.969.838.653,,16456899.0,258024306426.0,222261746528.0,35762559898.0,31969838653.0
3,I > 3,3,Trải phiếu và CCTG,492.689.454,143.906.729.579.859,143.472.388.127.757,434.341.452.102,628.128.450.767,,492689454.0,143906729579859.0,143472388127757.0,434341452102.0,628128450767.0
4,I > 4,4,Lãi vị thể của hợp đồng CKPS,-,-,-,235.219.422.000,92.862.868.000,,,,,235219422000.0,92862868000.0
5,I > 5,5,Chứng quyền do Công ty phát hành,2.128.038.200,1.286.745.051.807,899.786.013.800,386.959.038.007,187.872.154.245,,2128038200.0,1286745051807.0,899786013800.0,386959038007.0,187872154245.0
,,,Tổng cộng,2.991.738.751,156.223.928.164.407,155.055.421.557.830,1.403.726.028.577,1.079.799.162.898,,2991738751.0,156223928164407.0,155055421557830.0,1403726028577.0,1079799162898.0
II,II,II,Lỗ BÁN,,,,,,,,,,,
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết (bao gồm cổ phiếu phòng ngừa rủi ro cho chứng quyền),342.411.687,9.652.328.533.525,9.973.083.851.710,(320.755.318.185),(207.866.468.667),,342411687.0,9652328533525.0,9973083851710.0,-320755318185.0,-207866468667.0
2,II > 2,2,Cổ phiếu chưa niêm yết,5.863.000,58.925.565.000,63.603.267.845,(4.677.702.845),(150.090.000),,5863000.0,58925565000.0,63603267845.0,-4677702845.0,-150090000.0
3,II > 3,3,Trải phiếu và CCTG,217.891.387,50.288.970.526.130,50.411.551.667.843,(122.581.141.713),(64.707.168.885),,217891387.0,50288970526130.0,50411551667843.0,-122581141713.0,-64707168885.0
4,II > 4,4,Lỗ vị thể của hợp đồng CKPS,-,-,-,(211.207.948.000),(76.646.216.000),,,,,-211207948000.0,-76646216000.0
5,II > 5,5,Chứng quyền do Công ty phát hành,1.086.160.200,1.180.800.404.505,1.319.149.495.600,(138.349.091.095),(24.421.736.461),,1086160200.0,1180800404505.0,1319149495600.0,-138349091095.0,-24421736461.0
,,,Tổng cộng,1.652.326.274,61.181.025.029.160,61.767.388.282.998,(797.571.201.838),(373.791.680.013),,1652326274.0,61181025029160.0,61767388282998.0,-797571201838.0,-373791680013.0
