row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi sổ,Số cuối năm > Giá trị hợp lý (3),Số đầu năm > Giá trị ghi sổ,Số đầu năm > Giá trị hợp lý (3),numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số cuối năm > Giá trị hợp lý (3),numeric__Số đầu năm > Giá trị ghi sổ,numeric__Số đầu năm > Giá trị hợp lý (3)
Cho vay hoạt động ký quỹ (1),Cho vay hoạt động ký quỹ (1),Cho vay hoạt động ký quỹ (1),21.815.317.990.320,21.815.204.945.512,14.672.118.042.397,14.671.676.950.385,21815317990320.0,21815204945512.0,14672118042397.0,14671676950385.0
Cho vay hoạt động ứng trước tiền bán của khách hàng (2),Cho vay hoạt động ứng trước tiền bán của khách hàng (2),Cho vay hoạt động ứng trước tiền bán của khách hàng (2),183.283.895.055,183.283.895.055,461.946.971.023,461.946.971.023,183283895055.0,183283895055.0,461946971023.0,461946971023.0
Tổng cộng,Tổng cộng,Tổng cộng,21.998.601.885.375,21.998.488.840.567,15.134.065.013.420,15.133.623.921.408,21998601885375.0,21998488840567.0,15134065013420.0,15133623921408.0
