row_label_raw,row_label_full,Name,Position,Current year > Salary,Current year > Allowances and other income,Previous year > Salary,Previous year > Allowances and other income,numeric__Position,numeric__Current year > Salary,numeric__Current year > Allowances and other income,numeric__Previous year > Salary,numeric__Previous year > Allowances and other income
Nguyen Duy Hung,Nguyen Duy Hung,Nguyen Duy Hung,Chairman of the Board of Directors cum Chairman of the Investment Council and Chairman of the Strategy Subcommittee,"7,044,900,000",-,"7,020,421,000",-,,,,,
Nguyen Hong Nam,Nguyen Hong Nam,Nguyen Hong Nam,Member of the Board of Directors cum Chief Executive Officer,"6,344,900,000",-,"6,341,400,000",-,,,,,
Nguyen Duc Thong,Nguyen Duc Thong,Nguyen Duc Thong,Deputy Chief Executive Officer,"4,347,000,000",-,-,-,,,,,
Pham Viet Muon,Pham Viet Muon,Pham Viet Muon,Member of the Board of Directors,-,"1,365,333,335",-,"1,373,333,335",,,,,
Nguyen Duy Khanh,Nguyen Duy Khanh,Nguyen Duy Khanh,Member of the Board of Directors,-,"300,000,000",-,"300,000,000",,,,,
Hironori Oka,Hironori Oka,Hironori Oka,Member of the Board of Directors,-,-,-,-,,,,,
Nguyen Quoc Cuong,Nguyen Quoc Cuong,Nguyen Quoc Cuong,Member of the Board of Directors,-,"782,000,000",-,"740,000,000",,,,,
