row_label_raw,row_label_full,col_0,Currency: VNDSoftware,numeric__Currency: VNDSoftware
Cost,Cost,Cost,Cost,
01 January 2024,01 January 2024,01 January 2024,"243,279,842,117",
Increase,Increase,Increase,"58,018,546,419",
Purchase,Purchase,Purchase,"58,018,546,419",
Decrease,Decrease,Decrease,"(417,600,000)",
Disposals,Disposals,Disposals,"(417,600,000)",
31 December 2024,31 December 2024,31 December 2024,"300,880,788,536",
Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,
01 January 2024,01 January 2024,01 January 2024,"151,387,616,415",
Increase,Increase,Increase,"41,794,122,150",
Depreciation,Depreciation,Depreciation,"41,794,122,150",
Decrease,Decrease,Decrease,"(417,600,000)",
Disposals,Disposals,Disposals,"(417,600,000)",
31 December 2024,31 December 2024,31 December 2024,"192,764,138,565",
Net book value,Net book value,Net book value,Net book value,
01 January 2024,01 January 2024,01 January 2024,"91,892,225,702",
31 December 2024,31 December 2024,31 December 2024,"108,116,649,971",
