row_label_raw,row_label_full,Năm 2024,Môi giới và dịch vụ khách hàng > Năm 2024,Tự doanh > Năm 2024,Kinh doanh nguồn vốn > Năm 2024,Ngân hàng đầu tư và các bộ phận khác > Năm 2024,Đơn vị tính: VND Tổng cộng > Năm 2024,numeric__Môi giới và dịch vụ khách hàng > Năm 2024,numeric__Tự doanh > Năm 2024,numeric__Kinh doanh nguồn vốn > Năm 2024,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2024,numeric__Đơn vị tính: VND Tổng cộng > Năm 2024
1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),3.806.746.478.642,3.985.841.404.606,500.723.999.356,35.291.643.756,8.328.603.526.360,3806746478642.0,3985841404606.0,500723999356.0,35291643756.0,8328603526360.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2.027.093.863.527,2.427.951.362.978,211.341.662.957,43.077.680.046,4.709.464.569.508,2027093863527.0,2427951362978.0,211341662957.0,43077680046.0,4709464569508.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,215.188.720.633,11.090.003.443,17.114.861.081,23.193.036.044,266.586.621.201,215188720633.0,11090003443.0,17114861081.0,23193036044.0,266586621201.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,1.564.463.894.482,1.546.800.038.185,272.267.475.318,(30.979.072.334),3.352.552.335.651,1564463894482.0,1546800038185.0,272267475318.0,-30979072334.0,3352552335651.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2024 > 1. Tài sản bộ phận,1. Tài sản bộ phận,22.034.907.599.753,44.767.966.783.702,4.742.835.166.640,14.569.455.182,71.560.279.005.277,22034907599753.0,44767966783702.0,4742835166640.0,14569455182.0,71560279005277.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2024 > 2. Tài sản phân bổ,2. Tài sản phân bổ,606.658.319.376,31.264.848.967,48.250.079.415,65.385.621.637,751.558.869.395,606658319376.0,31264848967.0,48250079415.0,65385621637.0,751558869395.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2024 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,,,,,226.898.827.577,,,,,226898827577.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2024 > Tổng tài sản,Tổng tài sản,22.641.565.919.129,44.799.231.632.669,4.791.085.246.055,79.955.076.819,72.538.736.702.249,22641565919129.0,44799231632669.0,4791085246055.0,79955076819.0,72538736702249.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2024 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,13.706.119.280.723,30.890.775.010.678,1.226.189.513.861,3.484.285.966,45.826.568.091.228,13706119280723.0,30890775010678.0,1226189513861.0,3484285966.0,45826568091228.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2024 > 5. Nợ phân bổ,5. Nợ phân bổ,351.927.602.605,18.137.002.315,27.990.277.611,37.930.750.032,435.985.632.563,351927602605.0,18137002315.0,27990277611.0,37930750032.0,435985632563.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2024 > 6. Nợ không phân bổ,6. Nợ không phân bổ,,,,,308.910.865.727,,,,,308910865727.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2024 > Tổng công nợ,Tổng công nợ,14.058.046.883.328,30.908.912.012.993,1.254.179.791.472,41.415.035.998,46.571.464.589.518,14058046883328.0,30908912012993.0,1254179791472.0,41415035998.0,46571464589518.0
