row_label_raw,row_label_full,col_0,Ending balance of doubtful debts,Beginning balance of provision,Addition,Reversal,Ending balance of provision,Currency: VNDBeginning balance of doubtful debts,numeric__Ending balance of doubtful debts,numeric__Beginning balance of provision,numeric__Addition,numeric__Reversal,numeric__Ending balance of provision,numeric__Currency: VNDBeginning balance of doubtful debts
Provision for doubtful receivables from disposal of financial assets,Provision for doubtful receivables from disposal of financial assets,Provision for doubtful receivables from disposal of financial assets,"231,621,436,808","231,621,436,808",-,-,"231,621,436,808","231,621,436,808",,,,,,
"- Phuc Bao Minh Commercial Construction Co., Ltd","- Phuc Bao Minh Commercial Construction Co., Ltd","- Phuc Bao Minh Commercial Construction Co., Ltd","231,621,436,808","231,621,436,808",-,-,"231,621,436,808","231,621,436,808",,,,,,
Doubtful receivables from services provided by the Company,Doubtful receivables from services provided by the Company,Doubtful receivables from services provided by the Company,"250,000,000","250,000,000",-,-,"250,000,000","250,000,000",,,,,,
- Huu Nghi Nghe An General Hospital JSC,- Huu Nghi Nghe An General Hospital JSC,- Huu Nghi Nghe An General Hospital JSC,"10,000,000","10,000,000",-,-,"10,000,000","10,000,000",,,,,,
- Dabaco Group JSC,- Dabaco Group JSC,- Dabaco Group JSC,"240,000,000","240,000,000",-,-,"240,000,000","240,000,000",,,,,,
Total,Total,Total,"231,871,436,808","231,871,436,808",-,-,"231,871,436,808","231,871,436,808",,,,,,
