row_label_raw,row_label_full,Các loại tài sảntài chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,42.283.859.980.424,40.442.371.497,(236.643.700.038),42.087.658.651.883,43.837.951.427.678,16.929.622.351,(122.759.121.869),43.732.121.928.160,42283859980424.0,40442371497.0,-236643700038.0,42087658651883.0,43837951427678.0,16929622351.0,-122759121869.0,43732121928160.0
Cổ phiếu vàchủng khoảnniêm yết khác,Cổ phiếu vàchủng khoảnniêm yết khác,Cổ phiếu vàchủng khoảnniêm yết khác,1.368.632.430.067,12.056.543.611,(17.961.510.014),1.362.727.463.664,1.014.775.901.073,3.592.408.983,(11.571.276.956),1.006.797.033.100,1368632430067.0,12056543611.0,-17961510014.0,1362727463664.0,1014775901073.0,3592408983.0,-11571276956.0,1006797033100.0
Cổ phiếu niêmyết cho hoạtđồng phòngngửa rủi ro củachủng quyền,Cổ phiếu niêmyết cho hoạtđồng phòngngửa rủi ro củachủng quyền,Cổ phiếu niêmyết cho hoạtđồng phòngngửa rủi ro củachủng quyền,968.809.795.708,28.385.827.886,(2.698.942.144),994.496.681.450,493.864.555.823,5.048.744.720,(5.219.064.443),493.694.236.100,968809795708.0,28385827886.0,-2698942144.0,994496681450.0,493864555823.0,5048744720.0,-5219064443.0,493694236100.0
Cổ phiếu vàChứng chỉ quỹchưa niêm yết,Cổ phiếu vàChứng chỉ quỹchưa niêm yết,Cổ phiếu vàChứng chỉ quỹchưa niêm yết,69.344.160.610,-,(19.856.877.929),49.487.282.681,263.186.085.677,7.669.708.296,(19.810.683.151),251.045.110.822,69344160610.0,,-19856877929.0,49487282681.0,263186085677.0,7669708296.0,-19810683151.0,251045110822.0
Trải phiếu niêmyết,Trải phiếu niêmyết,Trải phiếu niêmyết,6.129.049.191.192,-,(196.126.369.951),5.932.922.821.241,1.394.942.311.067,618.760.352,(86.158.097.319),1.309.402.974.100,6129049191192.0,,-196126369951.0,5932922821241.0,1394942311067.0,618760352.0,-86158097319.0,1309402974100.0
Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,9.016.312.175.799,-,-,9.016.312.175.799,10.680.989.784.540,-,-,10.680.989.784.540,9016312175799.0,,,9016312175799.0,10680989784540.0,,,10680989784540.0
Chứng chỉ tiêngửi,Chứng chỉ tiêngửi,Chứng chỉ tiêngửi,24.731.712.227.048,-,-,24.731.712.227.048,29.990.192.789.498,-,-,29.990.192.789.498,24731712227048.0,,,24731712227048.0,29990192789498.0,,,29990192789498.0
AFS,AFS,AFS,451.044.473.608,-,(4.741.291.386),446.303.182.222,420.495.130.906,-,(4.741.291.386),415.753.839.520,451044473608.0,,-4741291386.0,446303182222.0,420495130906.0,,-4741291386.0,415753839520.0
Cổ phiếu chưaniêm yết,Cổ phiếu chưaniêm yết,Cổ phiếu chưaniêm yết,342.764.891.142,-,(4.741.291.386),338.023.599.756,383.215.748.440,-,(4.741.291.386),378.474.457.054,342764891142.0,,-4741291386.0,338023599756.0,383215748440.0,,-4741291386.0,378474457054.0
Trải phiếuchưa niêm yết,Trải phiếuchưa niêm yết,Trải phiếuchưa niêm yết,108.279.582.466,-,-,108.279.582.466,37.279.382.466,-,-,37.279.382.466,108279582466.0,,,108279582466.0,37279382466.0,,,37279382466.0
Tổng cộng,Tổng cộng,Tổng cộng,42.734.904.454.032,40.442.371.497,(241.384.991.424),42.533.961.834.105,44.258.446.558.584,16.929.622.351,(127.500.413.255),44.147.875.767.680,42734904454032.0,40442371497.0,-241384991424.0,42533961834105.0,44258446558584.0,16929622351.0,-127500413255.0,44147875767680.0
