row_label_raw,row_label_full,Thuế TNDN hoãn lại phát sinh do trích lập dự phòng chứng khoán chưa niêm yết không được khấu trừ thuế trong năm > Thuế TNDN hoãn lại phát sinh do trích lập dự phòng suy giảm giá trị các khoản cho vay,Năm nay > (4.627.367.510) > 3.514.816,Đơn vị tính: VNDNăm trước > (180.350.982) > 3.773.711,numeric__Năm nay > (4.627.367.510) > 3.514.816,numeric__Đơn vị tính: VNDNăm trước > (180.350.982) > 3.773.711
Thuế TNDN hoãn lại phát sinh do phần đánh giá tăng/giảm tài sản tài chính FVTPL và đánh giá giảm phải trả chứng quyền,Thuế TNDN hoãn lại phát sinh do phần đánh giá tăng/giảm tài sản tài chính FVTPL và đánh giá giảm phải trả chứng quyền,Thuế TNDN hoãn lại phát sinh do phần đánh giá tăng/giảm tài sản tài chính FVTPL và đánh giá giảm phải trả chứng quyền,1.229.186.040,8.030.945.226,1229186040.0,8030945226.0
Thuế TNDN hoãn lại phát sinh do khoản chi phí phát sinh tạm thời chịu thuế,Thuế TNDN hoãn lại phát sinh do khoản chi phí phát sinh tạm thời chịu thuế,Thuế TNDN hoãn lại phát sinh do khoản chi phí phát sinh tạm thời chịu thuế,-,2.156.180.588,,2156180588.0
(Thu nhập)/chi phí thuế TNDN hoãn lại,(Thu nhập)/chi phí thuế TNDN hoãn lại,(Thu nhập)/chi phí thuế TNDN hoãn lại,(3.394.666.654),10.010.548.543,-3394666654.0,10010548543.0
