row_label_raw,row_label_full,col_0,Brokerage and customer services,Proprietary trading,Treasury,Investment banking and others,Total,numeric__Brokerage and customer services,numeric__Proprietary trading,numeric__Treasury,numeric__Investment banking and others,numeric__Total
2023,2023,2023,2023,2023,2023,2023,2023,2023.0,2023.0,2023.0,2023.0,2023.0
1. Direct income (1),1. Direct income (1),1. Direct income (1),"3,134,714,119,088","3,127,961,707,387","669,456,997,570","52,085,061,213","6,984,217,885,258",,,,,
2. Direct expenses,2. Direct expenses,2. Direct expenses,"1,872,407,166,956","1,609,710,698,905","429,118,923,226","46,777,554,236","3,958,014,343,323",,,,,
3. Depreciation and allocated expenses,3. Depreciation and allocated expenses,3. Depreciation and allocated expenses,"234,861,299,317","28,591,531,314","20,825,930,217","36,613,846,498","320,892,607,346",,,,,
Profit before tax,Profit before tax,Profit before tax,"1,027,445,652,815","1,489,659,477,168","219,512,144,127","(31,306,339,521)","2,705,310,934,589",,,,,
As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,,,,,
1. Direct segment assets,1. Direct segment assets,1. Direct segment assets,"15,168,708,348,625","45,363,816,663,543","7,050,949,848,344","5,961,319,067","67,589,436,179,579",,,,,
2. Allocated segment assets,2. Allocated segment assets,2. Allocated segment assets,"319,095,676,006","38,846,051,007","28,295,271,721","49,745,616,385","435,982,615,119",,,,,
3. Unallocated assets,3. Unallocated assets,3. Unallocated assets,,,,,"494,033,750,199",,,,,
Total assets,Total assets,Total assets,"15,487,804,024,631","45,402,662,714,550","7,079,245,120,065","55,706,935,452","68,519,452,544,897",,,,,
4. Direct segment liabilities,4. Direct segment liabilities,4. Direct segment liabilities,"10,848,000,563,525","30,970,788,952,037","3,316,184,623,380","4,230,683,500","45,139,204,822,442",,,,,
5. Allocated segment liabilities,5. Allocated segment liabilities,5. Allocated segment liabilities,"292,914,573,043","35,658,817,404","25,973,706,504","45,664,097,259","400,211,194,210",,,,,
6. Unallocated liabilities,6. Unallocated liabilities,6. Unallocated liabilities,,,,,"395,576,902,978",,,,,
Total,Total,Total,"11,140,915,136,568","31,006,447,769,441","3,342,158,329,884","49,894,780,759","45,934,992,919,630",,,,,
