row_label_raw,row_label_full,col_0,Ownership,Ending balance,Ending balance_1,Beginning balance,Beginning balance_1,numeric__Ownership,numeric__Ending balance,numeric__Ending balance_1,numeric__Beginning balance,numeric__Beginning balance_1
,,,Ownership,Voting right rate of the Company,Value VND,Voting right rate of the Company,Value VND,,,,,
Held-to-maturity investments,Held-to-maturity investments,Held-to-maturity investments,,,"938,116,263,256",,"2,171,558,577,993",,,,,
- Held-to-maturity bonds (1),- Held-to-maturity bonds (1),- Held-to-maturity bonds (1),,,"614,534,757,754",,"2,171,558,577,993",,,,,
- Term deposits with maturity of more than 1 year (2),- Term deposits with maturity of more than 1 year (2),- Term deposits with maturity of more than 1 year (2),,,"323,581,505,502",,-,,,,,
Investments in subsidiaries,Investments in subsidiaries,Investments in subsidiaries,,,"479,000,000,000",,"479,000,000,000",,,,,
- SSI Asset Management (SSIAM),Investments in subsidiaries > - SSI Asset Management (SSIAM),- SSI Asset Management (SSIAM),Directly,100%,"75,000,000,000",100%,"75,000,000,000",,1.0,,1.0,
- SSI Investment Member Fund (SSIIMF),Investments in subsidiaries > - SSI Investment Member Fund (SSIIMF),- SSI Investment Member Fund (SSIIMF),Directly,76.15%,"404,000,000,000",76.15%,"404,000,000,000",,76.15,,76.15,
"Investments in joint ventures, associate (3)","Investments in joint ventures, associate (3)","Investments in joint ventures, associate (3)",,,"401,285,881,529",,"401,285,881,529",,,,,
- The Pan Group (PAN) JSC (4),"Investments in joint ventures, associate (3) > - The Pan Group (PAN) JSC (4)",- The Pan Group (PAN) JSC (4),Directly,12.73%,"391,285,881,529",12.73%,"391,285,881,529",,12.73,,12.73,
- Vietnam Digitalization and Healthcare Fund (VDHF),"Investments in joint ventures, associate (3) > - Vietnam Digitalization and Healthcare Fund (VDHF)",- Vietnam Digitalization and Healthcare Fund (VDHF),Directly,20.00%,"10,000,000,000",20.00%,"10,000,000,000",,20.0,,20.0,
Total,Total,Total,,,"1,818,402,144,785",,"3,051,844,459,522",,,,,
