row_label_raw,row_label_full,col_0,col_1,Currency: VND,Currency: VND_1,numeric__col_1,numeric__Currency: VND,numeric__Currency: VND_1
,,,,Ending balance,Beginning balance,,,
Shares,Shares,Shares,Shares,"10,760,540,000","13,436,620,000",,,
28.9,28.9,28.9,Entitled financial assets of investors,,,,,
,,,,Ending balance,Beginning balance,,,
Shares,Shares,Shares,Shares,"455,522,080,000","109,708,290,000",,,
Bonds,Bonds,Bonds,Bonds,-,"93,826,100,000",,,
Total,Total,Total,Total,"455,522,080,000","203,534,390,000",,,
