row_label_raw,row_label_full,col_0,Ending balance,Currency: VNDBeginning balance,numeric__Ending balance,numeric__Currency: VNDBeginning balance
1. Receivables from disposal of financial assetsIn which: doubtful receivables from disposalof financial assets unlikely to collected,1. Receivables from disposal of financial assetsIn which: doubtful receivables from disposalof financial assets unlikely to collected,1. Receivables from disposal of financial assetsIn which: doubtful receivables from disposalof financial assets unlikely to collected,"507,766,978,808","267,997,744,808",,
1. Receivables from disposal of financial assetsIn which: doubtful receivables from disposalof financial assets unlikely to collected,1. Receivables from disposal of financial assetsIn which: doubtful receivables from disposalof financial assets unlikely to collected,1. Receivables from disposal of financial assetsIn which: doubtful receivables from disposalof financial assets unlikely to collected,"231,621,436,808","231,621,436,808",,
2. Receivables and accruals from dividendsand interest income from financial assets (*),2. Receivables and accruals from dividendsand interest income from financial assets (*),2. Receivables and accruals from dividendsand interest income from financial assets (*),"290,993,050,749","316,441,295,496",,
3. Advances to suppliersIn which:Advance payment for purchasing securities,3. Advances to suppliersIn which:Advance payment for purchasing securities,3. Advances to suppliersIn which:Advance payment for purchasing securities,"830,656,988,493","30,488,015,683",,
3. Advances to suppliersIn which:Advance payment for purchasing securities,3. Advances to suppliersIn which:Advance payment for purchasing securities,3. Advances to suppliersIn which:Advance payment for purchasing securities,"795,000,000,000",-,,
Other advances,Other advances,Other advances,"35,656,988,493","30,488,015,683",,
4. Receivables from services provided by theCompany,4. Receivables from services provided by theCompany,4. Receivables from services provided by theCompany,"14,825,982,317","6,253,094,642",,
In which: doubtful receivables from servicesprovided by the Company,In which: doubtful receivables from servicesprovided by the Company,In which: doubtful receivables from servicesprovided by the Company,"250,000,000","250,000,000",,
5. Other receivables,5. Other receivables,5. Other receivables,"16,986,334,652","4,162,964,691",,
6. Provision for impairment of doubtfulreceivables,6. Provision for impairment of doubtfulreceivables,6. Provision for impairment of doubtfulreceivables,"(231,871,436,808)","(231,871,436,808)",,
Total,Total,Total,"1,429,357,898,211","393,471,678,512",,
