row_label_raw,row_label_full,Parties,Transaction,Receivables/(Payables),Receivables/(Payables)_1,Receivables/(Payables)_2,Receivables/(Payables)_3,Currency: VND Revenue/ (Expenses),numeric__Transaction,numeric__Receivables/(Payables),numeric__Receivables/(Payables)_1,numeric__Receivables/(Payables)_2,numeric__Receivables/(Payables)_3,numeric__Currency: VND Revenue/ (Expenses)
Parties,Parties,Parties,Transaction,01 January 2024,Increase,Decrease,31 December 2024,Currency: VND Revenue/ (Expenses),,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Revenue from consulting contracts,-,"165,000,000","(165,000,000)",-,"150,000,000",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,"Purchases of securities, certificates of deposit",-,"(32,011,070,781,303)","32,011,070,781,303",-,-,,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,"Sales of securities, certificates of deposit",-,"34,099,533,898,521","(34,099,533,898,521)",-,"78,642,978,074",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Revenue from securities transaction and other securities services,-,"3,684,500,593","(3,684,500,593)",-,"3,684,500,593",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Advance for securities purchase contracts,-,"1,570,791,846,833","(1,570,791,846,833)",,-,,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Accrued interest on bonds,"4,966,575,342","65,854,137,367","(64,887,342,846)","5,933,369,863","55,677,150,822",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Other income,-,"17,468,163,324","(17,468,163,324)",-,"17,468,163,324",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Advance for consulting contract,"(100,000,000)","100,000,000",-,-,"90,909,091",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Deposit management contracts and other,"(265,687,615,517)",-,"265,687,615,517",-,-,,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Interest payables for deposit management contracts and other,"(4,011,664,815)","(759,623,107)","4,771,287,922",-,"(759,623,107)",,,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries > The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Purchases goods and services,"(281,594)","(153,580,136)","153,861,730",-,"(153,580,136)",,-281.594,,,,
The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,The PAN Group JSC and its subsidiaries,Dividends received,-,"13,291,396,500","(13,291,396,500)",-,"13,291,396,500",,,,,,
Daiwa Securities Group Inc and its subsidiaries,Daiwa Securities Group Inc and its subsidiaries,Daiwa Securities Group Inc and its subsidiaries,Revenue from securities transaction and other securities services,-,"2,313,385,440","(2,313,385,440)",-,"2,103,077,673",,,,,,
Daiwa Securities Group Inc and its subsidiaries,Daiwa Securities Group Inc and its subsidiaries,Daiwa Securities Group Inc and its subsidiaries,Commission fee,"(1,364,361,670)","(8,049,658,172)","6,999,821,713","(2,414,198,129)","(8,049,658,172)",,,,,,
Daiwa Securities Group Inc and its subsidiaries,Daiwa Securities Group Inc and its subsidiaries,Daiwa Securities Group Inc and its subsidiaries,Revenue from consulting contracts,"1,146,009,968","1,645,093,853","(2,430,176,999)","360,926,822","1,645,093,853",,,,,,
Daiwa Securities Group Inc and its subsidiaries,Daiwa Securities Group Inc and its subsidiaries,Daiwa Securities Group Inc and its subsidiaries,SSI dividends,-,"(231,737,895,000)","231,737,895,000",-,-,,,,,,
"Nguyen Saigon Co., Ltd.","Nguyen Saigon Co., Ltd.","Nguyen Saigon Co., Ltd.",Revenue from securities transaction and other securities services,-,"533,155,051","(533,155,051)",-,"533,155,051",,,,,,
"Nguyen Saigon Co., Ltd.","Nguyen Saigon Co., Ltd.","Nguyen Saigon Co., Ltd.",SSI dividends,-,"(2,500,001,000)","2,500,001,000",-,-,,,,,,
