row_label_raw,row_label_full,Related parties,Relationships,numeric__Relationships
SSI Asset Management Ltd.,SSI Asset Management Ltd.,SSI Asset Management Ltd.,100%-owned subsidiaryChairman of SSIAM is a brother of Chairman of SSI,
SSI Investment Member Fund,SSI Investment Member Fund,SSI Investment Member Fund,76.15%-owned subsidiary,
"NDH Investment Co., Ltd. and its subsidiary","NDH Investment Co., Ltd. and its subsidiary","NDH Investment Co., Ltd. and its subsidiary","SSI's Chairman is the owner and chairman of NDH Investment Co., Ltd.Member of the Board of Directors of SSI, Nguyen Duy Khanh, is the Chief Executive Officer of NDH Investment Co., Ltd.",
Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Strategic shareholder holding about 15.34% voting capital of SSI,
The PAN Group JSC. and its subsidiaries,The PAN Group JSC. and its subsidiaries,The PAN Group JSC. and its subsidiaries,"Chairman of SSI is also the Chairman of the PAN Group, associate company.",
Vietnam Digitalization and Healthcare Fund,Vietnam Digitalization and Healthcare Fund,Vietnam Digitalization and Healthcare Fund,Associate company,
"Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.","Member of the Board of Directors cum Chief Executive Officer of SSI is also the Chairman of Saigon Dan Linh Real Estate Co., Ltd.",
"Nguyen Saigon Co., Ltd.","Nguyen Saigon Co., Ltd.","Nguyen Saigon Co., Ltd.","The Chairman of Nguyen Saigon Co., Ltd. is a brother of SSI's Chairman",
SSI Digital Technology Joint Stock Company,SSI Digital Technology Joint Stock Company,SSI Digital Technology Joint Stock Company,Subsidiary indirectly owned by SSI Investment Member Fund.,
