row_label_raw,row_label_full,col_0,Total,Balanceprovisioned,Neither pastdue nor impaired,Past due but not impaired,Past due but not impaired_1,Past due but not impaired_2,Past due but not impaired_3,numeric__Total,numeric__Balanceprovisioned,numeric__Neither pastdue nor impaired,numeric__Past due but not impaired,numeric__Past due but not impaired_1,numeric__Past due but not impaired_2,numeric__Past due but not impaired_3
,,,Total,Balanceprovisioned,Neither pastdue nor impaired,< 90 days,91-180 days,181-210 days,>210 days,,,,,,,
Beginning balance,Beginning balance,Beginning balance,"15,134,065,013,420","441,230,012","15,133,615,005,564","4,262,093","707,919","917,029","2,890,803",,,,,707.919,917.029,
Ending balance,Ending balance,Ending balance,"21,998,601,885,375","115,687,920","21,998,482,346,522","1,408,842","651,692","126,284","1,664,115",,,,,651.692,126.284,
