row_label_raw,row_label_full,col_0,Pages,numeric__Pages
General information,General information,General information,1 - 2,
Report of Management,Report of Management,Report of Management,3 - 4,
Independent auditors' report,Independent auditors' report,Independent auditors' report,5 - 6,
Separate statement of financial position,Separate statement of financial position,Separate statement of financial position,7 - 12,
Separate income statement,Separate income statement,Separate income statement,13 - 15,
Separate cash flow statement,Separate cash flow statement,Separate cash flow statement,16 - 19,
Separate statement of changes in owners' equity,Separate statement of changes in owners' equity,Separate statement of changes in owners' equity,20 - 21,
Notes to the separate financial statements,Notes to the separate financial statements,Notes to the separate financial statements,22 - 85,
