row_label_raw,row_label_full,col_0,Current year,Currency: VND Previous year,numeric__Current year,numeric__Currency: VND Previous year
Expenses for securities brokerage activities,Expenses for securities brokerage activities,Expenses for securities brokerage activities,"322,299,439,788","300,518,833,589",,
Expenses for custodian services,Expenses for custodian services,Expenses for custodian services,"41,393,115,080","41,922,402,416",,
Expenses on payroll and other employees' benefits,Expenses on payroll and other employees' benefits,Expenses on payroll and other employees' benefits,"672,019,439,167","748,949,657,131",,
"Expenses for social security, health insurance, union fee and unemployment insurance","Expenses for social security, health insurance, union fee and unemployment insurance","Expenses for social security, health insurance, union fee and unemployment insurance","44,376,714,817","45,344,695,800",,
Expense for office supplies,Expense for office supplies,Expense for office supplies,"1,172,424,305","1,287,634,906",,
Expense for tools and instruments,Expense for tools and instruments,Expense for tools and instruments,"1,826,074,949","6,710,448,319",,
Expenses for depreciation of fixed assets,Expenses for depreciation of fixed assets,Expenses for depreciation of fixed assets,"51,463,541,796","53,469,165,451",,
Expenses for external services,Expenses for external services,Expenses for external services,"293,143,497,144","306,643,130,896",,
Capital expenditures,Capital expenditures,Capital expenditures,"9,551,117,268","58,134,246,133",,
Other expenses,Other expenses,Other expenses,"46,056,538,611","28,255,749,999",,
Total,Total,Total,"1,483,301,902,925","1,591,235,964,640",,
