row_label_raw,row_label_full,col_0,Volume of trading during the year (Unit),Value of trading during the year (VND),numeric__Volume of trading during the year (Unit),numeric__Value of trading during the year (VND)
a. The Company,a. The Company,a. The Company,"2,849,470,140","263,805,479,258,772",,
- Shares,- Shares,- Shares,"1,267,939,522","38,458,267,279,796",,
- Bonds,- Bonds,- Bonds,"1,407,420,579","195,381,901,588,859",,
- Other securities,- Other securities,- Other securities,"174,110,039","29,965,310,390,117",,
b. Investors,b. Investors,b. Investors,"37,377,650,904","1,460,134,598,248,369",,
- Shares,- Shares,- Shares,"35,109,055,191","898,083,592,383,399",,
- Bonds,- Bonds,- Bonds,"722,904,175","76,786,298,472,620",,
- Other securities,- Other securities,- Other securities,"1,545,691,538","485,264,707,392,350",,
Total,Total,Total,"40,227,121,044","1,723,940,077,507,141",,
