row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Chỉ tiêu,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
I,I,I,Thuế,347.457.097.173,1.465.440.905.011,(1.623.087.720.108),189.810.282.076,,347457097173.0,1465440905011.0,-1623087720108.0,189810282076.0
1,1,1,Thuế giá trị gia tăng,326.608.629,12.743.627.478,(12.075.329.899),994.906.208,,326608629.0,12743627478.0,-12075329899.0,994906208.0
,,,Thuế thu nhập doanh nghiệp(Thuyết minh số 39.1),279.017.935.788,675.509.748.874,(828.867.487.847),125.660.196.815,,279017935788.0,675509748874.0,-828867487847.0,125660196815.0
3,3,3,Các loại thuế khác,68.112.552.756,777.187.528.659,(782.144.902.362),63.155.179.053,,68112552756.0,777187528659.0,-782144902362.0,63155179053.0
,,,Thuế thu nhập cá nhân,19.045.872.344,130.874.908.727,(134.776.809.270),15.143.971.801,,19045872344.0,130874908727.0,-134776809270.0,15143971801.0
,,,Thuế thu nhập cá nhân nộp hộ,39.380.467.232,550.178.086.137,(548.489.361.996),41.069.191.373,,39380467232.0,550178086137.0,-548489361996.0,41069191373.0
,,,Thuế môn bài,-,16.000.000,(16.000.000),-,,,16000000.0,-16000000.0,
,,,Thuế khác (thuế nhà thầu),9.686.213.180,96.118.533.795,(98.862.731.096),6.942.015.879,,9686213180.0,96118533795.0,-98862731096.0,6942015879.0
II,II,II,Các khoản phải nộp khác,-,2.639.775.317,(2.639.775.317),-,,,2639775317.0,-2639775317.0,
,,,Tổng cộng,347.457.097.173,1.468.080.680.328,(1.625.727.495.425),189.810.282.076,,347457097173.0,1468080680328.0,-1625727495425.0,189810282076.0
