row_label_raw,row_label_full,No.,Financial assets,Quantity Unit,Proceeds VND,Weighted average cost at the end of transaction date VND,Gain/(loss) from disposal in the current year VND,Gain/(loss) from disposal in the previous year VND,numeric__Financial assets,numeric__Quantity Unit,numeric__Proceeds VND,numeric__Weighted average cost at the end of transaction date VND,numeric__Gain/(loss) from disposal in the current year VND,numeric__Gain/(loss) from disposal in the previous year VND
I,I,I,GAIN,,,,,,,,,,,
1,1,1,Listed shares and securities (including hedging shares for covered warrants),"354,554,198","10,772,429,226,315","10,460,985,669,745","311,443,556,570","138,965,851,233",,,,,,
2,2,2,Unlisted shares and fund certificates,"16,456,899","258,024,306,426","222,261,746,528","35,762,559,898","31,969,838,653",,,,,,
3,3,3,Bonds and certificates of deposit,"492,689,454","143,906,729,579,859","143,472,388,127,757","434,341,452,102","628,128,450,767",,,,,,
4,4,4,Gain from derivatives position,-,-,-,"235,219,422,000","92,862,868,000",,,,,,
5,5,5,Covered warrants issued by the Company,"2,128,038,200","1,286,745,051,807","899,786,013,800","386,959,038,007","187,872,154,245",,,,,,
,,,Total,"2,991,738,751","156,223,928,164,407","155,055,421,557,830","1,403,726,028,577","1,079,799,162,898",,,,,,
II,II,II,LOSS,,,,,,,,,,,
1,1,1,Listed shares and securities (including hedging shares for covered warrants),"342,411,687","9,652,328,533,525","9,973,083,851,710","(320,755,318,185)","(207,866,468,667)",,,,,,
2,2,2,Unlisted shares,"5,863,000","58,925,565,000","63,603,267,845","(4,677,702,845)","(150,090,000)",,,,,,
3,3,3,Bonds and certificates of deposit,"217,891,387","50,288,970,526,130","50,411,551,667,843","(122,581,141,713)","(64,707,168,885)",,,,,,
4,4,4,Loss from derivatives position,-,-,-,"(211,207,948,000)","(76,646,216,000)",,,,,,
5,5,5,Covered warrants issued by the Company,"1,086,160,200","1,180,800,404,505","1,319,149,495,600","(138,349,091,095)","(24,421,736,461)",,,,,,
,,,Total,"1,652,326,274","61,181,025,029,160","61,767,388,282,998","(797,571,201,838)","(373,791,680,013)",,,,,,
