row_label_raw,row_label_full,col_0,Ending balance,Currency: VNDBeginning balance,numeric__Ending balance,numeric__Currency: VNDBeginning balance
Payables to investors - investors' deposits for securities trading activities managed by the Company,Payables to investors - investors' deposits for securities trading activities managed by the Company,Payables to investors - investors' deposits for securities trading activities managed by the Company,"4,919,023,915,622","5,166,309,968,071",,
- Domestic investors,- Domestic investors,- Domestic investors,"4,712,758,821,651","4,304,562,383,964",,
- Foreign investors,- Foreign investors,- Foreign investors,"206,265,093,971","861,747,584,107",,
Total,Total,Total,"4,919,023,915,622","5,166,309,968,071",,
28.13 Payables to securities issuers,28.13 Payables to securities issuers,28.13 Payables to securities issuers,28.13 Payables to securities issuers,28.13 Payables to securities issuers,,
,,,Ending Balance,Currency: VNDBeginning balance,,
Other payables to securities issuers,Other payables to securities issuers,Other payables to securities issuers,"122,465,000","94,987,313,000",,
"28.14 Dividend, bond principal and interest payables","28.14 Dividend, bond principal and interest payables","28.14 Dividend, bond principal and interest payables","28.14 Dividend, bond principal and interest payables","28.14 Dividend, bond principal and interest payables",,
,,,Ending balance,Currency: VNDBeginning balance,,
"Deposits for dividends, principals and interest payments of securities issuers","Deposits for dividends, principals and interest payments of securities issuers","Deposits for dividends, principals and interest payments of securities issuers","11,174,732,134","4,074,931,834",,
