row_label_raw,row_label_full,No.,Financial assets,Cost,Carrying value,Revaluation difference at the end of the year,Revaluation difference at the beginning of the year,Currency: VND Net gain/(loss) recorded this year,numeric__Financial assets,numeric__Cost,numeric__Carrying value,numeric__Revaluation difference at the end of the year,numeric__Revaluation difference at the beginning of the year,numeric__Currency: VND Net gain/(loss) recorded this year
1,1,1,FVTPL,"42,283,859,980,424","42,087,658,651,883","(196,201,328,541)","(105,829,499,518)","(90,371,829,023)",,,,,,
1,1,1,Listed shares and other listed securities,"1,368,632,430,067","1,362,727,463,664","(5,904,966,403)","(7,978,867,973)","2,073,901,570",,,,,,
1,1,1,VPB,"824,439,412,840","810,610,982,400","(13,828,430,440)","403,602,567","(14,232,033,007)",,,,,,
1,1,1,FPT,"53,253,124,050","56,449,857,500","3,196,733,450","(2,969,402,950)","6,166,136,400",,,,,,
1,1,1,MWG,"53,845,954,822","53,905,700,000","59,745,178","84,540,301","(24,795,123)",,,,,,
1,1,1,HPG,"49,303,194,457","48,783,651,150","(519,543,307)","1,292,589,931","(1,812,133,238)",,,,,,
1,1,1,Other listed shares and securities,"387,790,743,898","392,977,272,614","5,186,528,716","(6,790,197,822)","11,976,726,538",,,,,,
2,2,2,Listed shares used as hedging for covered warrants,"968,809,795,708","994,496,681,450","25,686,885,742","(170,319,723)","25,857,205,465",,,,,,
2,2,2,FPT,"342,455,410,919","363,012,677,500","20,557,266,581","(782,843,848)","21,340,110,429",,,,,,
2,2,2,HPG,"119,676,905,690","118,415,783,850","(1,261,121,840)","4,254,039,909","(5,515,161,749)",,,,,,
2,2,2,MBB,"128,052,299,746","131,098,881,300","3,046,581,554","33,275,212","3,013,306,342",,,,,,
2,2,2,MWG,"187,397,571,637","187,605,500,000","207,928,363","56,678,087","151,250,276",,,,,,
2,2,2,Other listed shares,"191,227,607,716","194,363,838,800","3,136,231,084","(3,731,469,083)","6,867,700,167",,,,,,
3,3,3,Unlisted shares and fund certificates,"69,344,160,610","49,487,282,681","(19,856,877,929)","(12,140,974,855)","(7,715,903,074)",,,,,,
4,4,4,Listed bonds,"6,129,049,191,192","5,932,922,821,241","(196,126,369,951)","(85,539,336,967)","(110,587,032,984)",,,,,,
5,5,5,Unlisted bonds,"9,016,312,175,799","9,016,312,175,799",-,-,-,,,,,,
6,6,6,Certificates of deposit,"24,731,712,227,048","24,731,712,227,048",-,-,-,,,,,,
