row_label_raw,row_label_full,col_0,Current year,Currency: VND Previous year,numeric__Current year,numeric__Currency: VND Previous year
Profit before tax,Profit before tax,Profit before tax,"3,352,552,335,651","2,705,310,934,589",,
Adjustments to decrease in accounting profit,Adjustments to decrease in accounting profit,Adjustments to decrease in accounting profit,"(81,595,931,904)","(142,923,375,314)",,
Increases:,Increases:,Increases:,"666,320,215,050","263,182,276,848",,
- Decrease in revaluation of financial assets at FVTPL,- Decrease in revaluation of financial assets at FVTPL,- Decrease in revaluation of financial assets at FVTPL,"446,095,577,578","207,840,987,288",,
- Provision for impairment of unlisted securities,- Provision for impairment of unlisted securities,- Provision for impairment of unlisted securities,"22,734,432,466",-,,
- Increase in revaluation of outstanding covered warrant payables,- Increase in revaluation of outstanding covered warrant payables,- Increase in revaluation of outstanding covered warrant payables,"191,616,952,989","55,341,289,560",,
- Other increase adjustments,- Other increase adjustments,- Other increase adjustments,"5,873,252,017",-,,
Decreases:,Decreases:,Decreases:,"(747,916,146,954)","(406,105,652,162)",,
- Income from tax exempted activities – Dividends,- Income from tax exempted activities – Dividends,- Income from tax exempted activities – Dividends,"(76,576,899,810)","(26,941,672,800)",,
- Expense for provision for impairment of securities during the year,- Expense for provision for impairment of securities during the year,- Expense for provision for impairment of securities during the year,"(126,813,270,876)","(54,363,171,591)",,
- Increase in revaluation of financial assets at FVTPL,- Increase in revaluation of financial assets at FVTPL,- Increase in revaluation of financial assets at FVTPL,"(355,723,748,555)","(168,026,723,172)",,
- Decrease in revaluation of outstanding covered warrant payables,- Decrease in revaluation of outstanding covered warrant payables,- Decrease in revaluation of outstanding covered warrant payables,"(159,281,244,677)","(93,766,534,226)",,
- Other decrease adjustments,- Other decrease adjustments,- Other decrease adjustments,"(29,520,983,036)","(63,007,550,373)",,
Estimated current taxable income,Estimated current taxable income,Estimated current taxable income,"3,270,956,403,747","2,562,387,559,275",,
Corporate income tax rate,Estimated current taxable income > Corporate income tax rate,Corporate income tax rate,20%,20%,0.2,0.2
Estimated CIT expenses,Estimated CIT expenses,Estimated CIT expenses,"654,191,280,749","512,477,511,855",,
CIT payable at the beginning of the year,CIT payable at the beginning of the year,CIT payable at the beginning of the year,"279,017,935,788","32,695,176,094",,
CIT adjustment in accordance with tax finalization,CIT adjustment in accordance with tax finalization,CIT adjustment in accordance with tax finalization,"21,318,468,125","9,616,420,233",,
CIT paid in the year,CIT paid in the year,CIT paid in the year,"(828,867,487,847)","(275,771,172,394)",,
CIT payable at the end of the year,CIT payable at the end of the year,CIT payable at the end of the year,"125,660,196,815","279,017,935,788",,
