row_label_raw,row_label_full,Financial assets,Ending balance,Ending balance_1,Ending balance_2,Ending balance_3,Beginning balance,Beginning balance_1,Beginning balance_2,Beginning balance_3,numeric__Ending balance,numeric__Ending balance_1,numeric__Ending balance_2,numeric__Ending balance_3,numeric__Beginning balance,numeric__Beginning balance_1,numeric__Beginning balance_2,numeric__Beginning balance_3
Financial assets,Financial assets,Financial assets,Cost,Revaluation difference,Revaluation difference,Revaluated value,Cost,Revaluation difference,Revaluation difference,Revaluated value,,,,,,,,
Financial assets,Financial assets,Financial assets,Cost,Increase,Decrease,Revaluated value,Cost,Increase,Decrease,Revaluated value,,,,,,,,
FVTPL,FVTPL,FVTPL,"42,283,859,980,424","40,442,371,497","(236,643,700,038)","42,087,658,651,883","43,837,951,427,678","16,929,622,351","(122,759,121,869)","43,732,121,928,160",,,,,,,,
Listed shares and other securities,Listed shares and other securities,Listed shares and other securities,"1,368,632,430,067","12,056,543,611","(17,961,510,014)","1,362,727,463,664","1,014,775,901,073","3,592,408,983","(11,571,276,956)","1,006,797,033,100",,,,,,,,
Listed shares used as hedging for covered warrants,Listed shares used as hedging for covered warrants,Listed shares used as hedging for covered warrants,"968,809,795,708","28,385,827,886","(2,698,942,144)","994,496,681,450","493,864,555,823","5,048,744,720","(5,219,064,443)","493,694,236,100",,,,,,,,
Unlisted shares and fund certificates,Unlisted shares and fund certificates,Unlisted shares and fund certificates,"69,344,160,610",-,"(19,856,877,929)","49,487,282,681","263,186,085,677","7,669,708,296","(19,810,683,151)","251,045,110,822",,,,,,,,
Listed bonds,Listed bonds,Listed bonds,"6,129,049,191,192",-,"(196,126,369,951)","5,932,922,821,241","1,394,942,311,067","618,760,352","(86,158,097,319)","1,309,402,974,100",,,,,,,,
Unlisted bonds,Unlisted bonds,Unlisted bonds,"9,016,312,175,799",-,-,"9,016,312,175,799","10,680,989,784,540",-,-,"10,680,989,784,540",,,,,,,,
Certificates of deposit,Certificates of deposit,Certificates of deposit,"24,731,712,227,048",-,-,"24,731,712,227,048","29,990,192,789,498",-,-,"29,990,192,789,498",,,,,,,,
AFS,AFS,AFS,"451,044,473,608",-,"(4,741,291,386)","446,303,182,222","420,495,130,906",-,"(4,741,291,386)","415,753,839,520",,,,,,,,
Unlisted shares,Unlisted shares,Unlisted shares,"342,764,891,142",-,"(4,741,291,386)","338,023,599,756","383,215,748,440",-,"(4,741,291,386)","378,474,457,054",,,,,,,,
Unlisted bonds,Unlisted bonds,Unlisted bonds,"108,279,582,466",-,-,"108,279,582,466","37,279,382,466",-,-,"37,279,382,466",,,,,,,,
Total,Total,Total,"42,734,904,454,032","40,442,371,497","(241,384,991,424)","42,533,961,834,105","44,258,446,558,584","16,929,622,351","(127,500,413,255)","44,147,875,767,680",,,,,,,,
