row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu(chi phí),numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu(chi phí)
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Ngày 01 tháng 01năm 2024,Tăng trong năm,Giảm trong năm,Ngày 31 tháng 12năm 2024,Doanh thu(chi phí),,,,,,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Góp vốn đầu tư,404.000.000.000,-,-,404.000.000.000,-,,404000000000.0,,,404000000000.0,
Quỹ đầu tư Công nghệ sốvà Y tế Việt Nam,Công ty liên quan > Quỹ đầu tư Công nghệ sốvà Y tế Việt Nam,Quỹ đầu tư Công nghệ sốvà Y tế Việt Nam,Góp vốn đầu tư,10.000.000.000,-,-,10.000.000.000,-,,10000000000.0,,,10000000000.0,
Công ty Cổ phầnCông Nghệ số SSI,Công ty liên quan > Công ty Cổ phầnCông Nghệ số SSI,Công ty Cổ phầnCông Nghệ số SSI,Mua hàng hóa dịch vụ,-,(15.853.619.271),15.853.619.271,-,-,,,-15853619271.0,15853619271.0,,
Công ty Cổ phầnCông Nghệ số SSI,Công ty liên quan > Công ty Cổ phầnCông Nghệ số SSI,Công ty Cổ phầnCông Nghệ số SSI,Phải thu khác,-,721.719.494,(721.719.494),-,-,,,721719494.0,-721719494.0,,
Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM),Góp vốn đầu tư,75.000.000.000,-,-,75.000.000.000,-,,75000000000.0,,,75000000000.0,
Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM),Doanh thu giao dịch và dịchvụ chứng khoán khácSố dư danh mục ủy thác đàutư,42.033.850,3.230.684.198,(3.131.315.694),141.402.354,3.184.257.057,,42033850.0,3230684198.0,-3131315694.0,141402354.0,3184257057.0
Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM),Phí quản lý Danh mục,546.913.805.695(14.048.483.014),6.325.528.858.812(15.871.486.870),(6.322.369.086.500)27.239.476.149,550.073.578.007(2.680.493.735),-,,,,,,
Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM) > Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM),Giao dịch bán chứng khoán,-,90.067.500.000,(90.067.500.000),-,(15.871.486.870),,,90067500000.0,-90067500000.0,,-15871486870.0
Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM) > Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM),Các khoản phải thu khác,-,89.000.000,(89.000.000),-,67.500.000,,,89000000.0,-89000000.0,,67500000.0
Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM) > Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM),Phí giao dịch phải trả,-,(249.498.470),249.498.470,-,(249.498.470),,,-249498470.0,249498470.0,,-249498470.0
Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM) > Công ty TNHH Quản lý QuỹSSI (SSIAM),Công ty TNHH Quản lý QuỹSSI (SSIAM),Các khoản phải trả khác,(469.480.044),(9.675.183.873),10.144.663.917,-,(9.129.569.674),,-469480044.0,-9675183873.0,10144663917.0,,-9129569674.0
Công ty TNHH Đầu tư NDHvà công ty con,Công ty TNHH Quản lý QuỹSSI (SSIAM) > Công ty TNHH Đầu tư NDHvà công ty con,Công ty TNHH Đầu tư NDHvà công ty con,Doanh thu giao dịch và dịch vụchứng khoán khác,-,2.049.721.444,(2.049.721.444),-,2.049.721.444,,,2049721444.0,-2049721444.0,,2049721444.0
Công ty TNHH Đầu tư NDHvà công ty con,Công ty TNHH Đầu tư NDHvà công ty con,Công ty TNHH Đầu tư NDHvà công ty con,"Giao dịch bán chứng khoán,Giao dịch mua chứng khoán,Cổ tức SSI",-,4.011.629.186.838(5.376.391.840.000),(4.011.629.186.838)5.376.391.840.000126.237.688.000,-,9.141.729.658-,,,,,,
