row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 01 tháng 01 năm 2024,Nguyên giá > Ngày 01 tháng 01 năm 2024,Ngày 01 tháng 01 năm 2024,366.364.329.841,39.587.633.582,3.127.544.903,409.079.508.326,366364329841.0,39587633582.0,3127544903.0,409079508326.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.362.452.191,-,76.373.528,1.438.825.719,1362452191.0,,76373528.0,1438825719.0
Mua mới,Nguyên giá > Mua mới,Mua mới,1.362.452.191,-,76.373.528,1.438.825.719,1362452191.0,,76373528.0,1438825719.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(595.940.727),(1.257.835.455),(185.780.792),(2.039.556.974),-595940727.0,-1257835455.0,-185780792.0,-2039556974.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(595.940.727),(1.257.835.455),(185.780.792),(2.039.556.974),-595940727.0,-1257835455.0,-185780792.0,-2039556974.0
Ngày 31 tháng 12 năm 2024,Nguyên giá > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,367.130.841.305,38.329.798.127,3.018.137.639,408.478.777.071,367130841305.0,38329798127.0,3018137639.0,408478777071.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Ngày 01 tháng 01 năm 2024,Giá trị hao mòn lũy kế > Ngày 01 tháng 01 năm 2024,Ngày 01 tháng 01 năm 2024,216.879.696.345,15.435.205.324,2.362.366.622,234.677.268.291,216879696345.0,15435205324.0,2362366622.0,234677268291.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,50.487.255.829,3.670.722.002,439.666.607,54.597.644.438,50487255829.0,3670722002.0,439666607.0,54597644438.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,50.487.255.829,3.670.722.002,439.666.607,54.597.644.438,50487255829.0,3670722002.0,439666607.0,54597644438.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(500.984.835),(279.518.990),(181.657.340),(962.161.165),-500984835.0,-279518990.0,-181657340.0,-962161165.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(500.984.835),(279.518.990),(181.657.340),(962.161.165),-500984835.0,-279518990.0,-181657340.0,-962161165.0
Ngày 31 tháng 12 năm 2024,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,266.865.967.339,18.826.408.336,2.620.375.889,288.312.751.564,266865967339.0,18826408336.0,2620375889.0,288312751564.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 01 tháng 01 năm 2024,Giá trị còn lại > Ngày 01 tháng 01 năm 2024,Ngày 01 tháng 01 năm 2024,149.484.633.496,24.152.428.258,765.178.281,174.402.240.035,149484633496.0,24152428258.0,765178281.0,174402240035.0
Ngày 31 tháng 12 năm 2024,Giá trị còn lại > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,100.264.873.966,19.503.389.791,397.761.750,120.166.025.507,100264873966.0,19503389791.0,397761750.0,120166025507.0
