row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,1.368.632.430.067,1.362.727.463.664,1.014.775.901.073,1.006.797.033.100,1368632430067.0,1362727463664.0,1014775901073.0,1006797033100.0
VPB,VPB,VPB,824.439.412.840,810.610.982.400,384.885.101.433,385.288.704.000,824439412840.0,810610982400.0,384885101433.0,385288704000.0
FPT,FPT,FPT,53.253.124.050,56.449.857.500,92.036.132.250,89.066.729.300,53253124050.0,56449857500.0,92036132250.0,89066729300.0
MWG,MWG,MWG,53.845.954.822,53.905.700.000,32.032.879.299,32.117.419.600,53845954822.0,53905700000.0,32032879299.0,32117419600.0
HPG,HPG,HPG,49.303.194.457,48.783.651.150,56.113.356.069,57.405.946.000,49303194457.0,48783651150.0,56113356069.0,57405946000.0
Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,387.790.743.898,392.977.272.614,449.708.432.022,442.918.234.200,387790743898.0,392977272614.0,449708432022.0,442918234200.0
Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,968.809.795.708,994.496.681.450,493.864.555.823,493.694.236.100,968809795708.0,994496681450.0,493864555823.0,493694236100.0
FPT,FPT,FPT,342.455.410.919,363.012.677.500,24.264.110.048,23.481.266.200,342455410919.0,363012677500.0,24264110048.0,23481266200.0
HPG,HPG,HPG,119.676.905.690,118.415.783.850,184.674.544.091,188.928.584.000,119676905690.0,118415783850.0,184674544091.0,188928584000.0
MBB,MBB,MBB,128.052.299.746,131.098.881.300,20.159.079.788,20.192.355.000,128052299746.0,131098881300.0,20159079788.0,20192355000.0
MWG,MWG,MWG,187.397.571.637,187.605.500.000,21.475.702.313,21.532.380.400,187397571637.0,187605500000.0,21475702313.0,21532380400.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,191.227.607.716,194.363.838.800,243.291.119.583,239.559.650.500,191227607716.0,194363838800.0,243291119583.0,239559650500.0
Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,69.344.160.610,49.487.282.681,263.186.085.677,251.045.110.822,69344160610.0,49487282681.0,263186085677.0,251045110822.0
Trái phiếu niêm yết (1),Trái phiếu niêm yết (1),Trái phiếu niêm yết (1),6.129.049.191.192,5.932.922.821.241,1.394.942.311.067,1.309.402.974.100,6129049191192.0,5932922821241.0,1394942311067.0,1309402974100.0
Trái phiếu chưa niêm yết (2),Trái phiếu chưa niêm yết (2),Trái phiếu chưa niêm yết (2),9.016.312.175.799,9.016.312.175.799,10.680.989.784.540,10.680.989.784.540,9016312175799.0,9016312175799.0,10680989784540.0,10680989784540.0
Chứng chỉ tiền gửi (3),Chứng chỉ tiền gửi (3),Chứng chỉ tiền gửi (3),24.731.712.227.048,24.731.712.227.048,29.990.192.789.498,29.990.192.789.498,24731712227048.0,24731712227048.0,29990192789498.0,29990192789498.0
Tổng cộng,Tổng cộng,Tổng cộng,42.283.859.980.424,42.087.658.651.883,43.837.951.427.678,43.732.121.928.160,42283859980424.0,42087658651883.0,43837951427678.0,43732121928160.0
