row_label_raw,row_label_full,col_0,Brokerage and customer services,Proprietary trading,Treasury,Investment banking and others,Currency: VND,numeric__Brokerage and customer services,numeric__Proprietary trading,numeric__Treasury,numeric__Investment banking and others,numeric__Currency: VND
,,,Brokerage and customer services,Proprietary trading,Treasury,Investment banking and others,Total,,,,,
2024,2024,2024,2024,2024,2024,2024,2024,2024.0,2024.0,2024.0,2024.0,2024.0
1. Direct income (1),1. Direct income (1),1. Direct income (1),"3,806,746,478,642","3,985,841,404,606","500,723,999,356","35,291,643,756","8,328,603,526,360",,,,,
2. Direct expenses,2. Direct expenses,2. Direct expenses,"2,027,093,863,527","2,427,951,362,978","211,341,662,957","43,077,680,046","4,709,464,569,508",,,,,
3. Depreciation and allocated expenses,3. Depreciation and allocated expenses,3. Depreciation and allocated expenses,"215,188,720,633","11,090,003,443","17,114,861,081","23,193,036,044","266,586,621,201",,,,,
Profit before tax,Profit before tax,Profit before tax,"1,564,463,894,482","1,546,800,038,185","272,267,475,318","(30,979,072,334)","3,352,552,335,651",,,,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,,,,,
1. Direct segment assets,1. Direct segment assets,1. Direct segment assets,"22,034,907,599,753","44,767,966,783,702","4,742,835,166,640","14,569,455,182","71,560,279,005,277",,,,,
2. Allocated segment assets,2. Allocated segment assets,2. Allocated segment assets,"606,658,319,376","31,264,848,967","48,250,079,415","65,385,621,637","751,558,869,395",,,,,
3. Unallocated assets,3. Unallocated assets,3. Unallocated assets,,,,,"226,898,827,577",,,,,
Total assets,Total assets,Total assets,"22,641,565,919,129","44,799,231,632,669","4,791,085,246,055","79,955,076,819","72,538,736,702,249",,,,,
4. Direct segment liabilities,4. Direct segment liabilities,4. Direct segment liabilities,"13,706,119,280,723","30,890,775,010,678","1,226,189,513,861","3,484,285,966","45,826,568,091,228",,,,,
5. Allocated segment liabilities,5. Allocated segment liabilities,5. Allocated segment liabilities,"351,927,602,605","18,137,002,315","27,990,277,611","37,930,750,032","435,985,632,563",,,,,
6. Unallocated liabilities,6. Unallocated liabilities,6. Unallocated liabilities,,,,,"308,910,865,727",,,,,
Total,Total,Total,"14,058,046,883,328","30,908,912,012,993","1,254,179,791,472","41,415,035,998","46,571,464,589,518",,,,,
