row_label_raw,row_label_full,col_0,Current year,Currency: VNDPrevious year,numeric__Current year,numeric__Currency: VNDPrevious year
Deferred CIT assets,Deferred CIT assets,Deferred CIT assets,Deferred CIT assets,Deferred CIT assets,,
Beginning balance,Beginning balance,Beginning balance,"8,879,435,210","6,419,465,951",,
Deferred CIT arising from non-deductibleprovision for impairment of unlisted securities inthe year,Deferred CIT arising from non-deductibleprovision for impairment of unlisted securities inthe year,Deferred CIT arising from non-deductibleprovision for impairment of unlisted securities inthe year,"4,627,367,510","180,350,982",,
Deferred CIT arising from decrease inrevaluation of FVTPL and AFS financial assetsthat have not been tax-deductible,Deferred CIT arising from decrease inrevaluation of FVTPL and AFS financial assetsthat have not been tax-deductible,Deferred CIT arising from decrease inrevaluation of FVTPL and AFS financial assetsthat have not been tax-deductible,-,"4,439,572,576",,
Deferred CIT arising from temporary taxablefrom expense difference,Deferred CIT arising from temporary taxablefrom expense difference,Deferred CIT arising from temporary taxablefrom expense difference,-,"(2,156,180,588)",,
Deferred CIT due to provision expense forimpairment of loans in the year,Deferred CIT due to provision expense forimpairment of loans in the year,Deferred CIT due to provision expense forimpairment of loans in the year,"(3,514,816)","(3,773,711)",,
Ending balance,Ending balance,Ending balance,"13,503,287,904","8,879,435,210",,
Deferred CIT payables,Deferred CIT payables,Deferred CIT payables,Deferred CIT payables,Deferred CIT payables,,
Beginning balance,Beginning balance,Beginning balance,"14,296,859,349","1,203,003,363",,
Deferred CIT arising from the increase inrevaluation of financial assets at FVTPL,Deferred CIT arising from the increase inrevaluation of financial assets at FVTPL,Deferred CIT arising from the increase inrevaluation of financial assets at FVTPL,"4,702,549,829","2,914,863,995",,
Deferred CIT arising from revaluation of AFSfinancial assets,Deferred CIT arising from revaluation of AFSfinancial assets,Deferred CIT arising from revaluation of AFSfinancial assets,-,"1,571,596,462",,
Deferred CIT arising from the decrease inrevaluation of outstanding covered warrantpayables,Deferred CIT arising from the decrease inrevaluation of outstanding covered warrantpayables,Deferred CIT arising from the decrease inrevaluation of outstanding covered warrantpayables,"(3,473,363,789)","8,607,395,529",,
Ending balance,Ending balance,Ending balance,"15,526,045,389","14,296,859,349",,
