row_label_raw,row_label_full,col_0,Ending balance,Beginning balance,numeric__Ending balance,numeric__Beginning balance
1 year or less,1 year or less,1 year or less,"102,298,511,798","108,421,408,958",,
More than 1 - 5 years,More than 1 - 5 years,More than 1 - 5 years,"155,403,455,688","177,540,092,202",,
More than 5 years,More than 5 years,More than 5 years,"121,203,817,800","145,188,946,500",,
Total,Total,Total,"378,905,785,286","431,150,447,660",,
