row_label_raw,row_label_full,col_0,Current year,Currency: VND Previous year,numeric__Current year,numeric__Currency: VND Previous year
Expense for deposit management contracts,Expense for deposit management contracts,Expense for deposit management contracts,"2,233,296,617","53,123,604,230",,
Direct costs related to other operating activities,Direct costs related to other operating activities,Direct costs related to other operating activities,"73,005,621,913","110,643,874,921",,
Total,Total,Total,"75,238,918,530","163,767,479,151",,
