row_label_raw,row_label_full,col_0,Đơn vị tính: VNDPhần mềm,Đơn vị tính: VNDPhần mềm_1,numeric__Đơn vị tính: VNDPhần mềm,numeric__Đơn vị tính: VNDPhần mềm_1
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Ngày 01 tháng 01 năm 2024,Nguyên giá > Ngày 01 tháng 01 năm 2024,Ngày 01 tháng 01 năm 2024,243.279.842.117,243.279.842.117,243279842117.0,243279842117.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,58.018.546.419,58.018.546.419,58018546419.0,58018546419.0
Mua mới,Nguyên giá > Mua mới,Mua mới,58.018.546.419,58.018.546.419,58018546419.0,58018546419.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(417.600.000),(417.600.000),-417600000.0,-417600000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(417.600.000),(417.600.000),-417600000.0,-417600000.0
Ngày 31 tháng 12 năm 2024,Nguyên giá > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,300.880.788.536,300.880.788.536,300880788536.0,300880788536.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Ngày 01 tháng 01 năm 2024,Giá trị hao mòn lũy kế > Ngày 01 tháng 01 năm 2024,Ngày 01 tháng 01 năm 2024,151.387.616.415,151.387.616.415,151387616415.0,151387616415.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,41.794.122.150,41.794.122.150,41794122150.0,41794122150.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,41.794.122.150,41.794.122.150,41794122150.0,41794122150.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(417.600.000),(417.600.000),-417600000.0,-417600000.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(417.600.000),(417.600.000),-417600000.0,-417600000.0
Ngày 31 tháng 12 năm 2024,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,192.764.138.565,192.764.138.565,192764138565.0,192764138565.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Ngày 01 tháng 01 năm 2024,Giá trị còn lại > Ngày 01 tháng 01 năm 2024,Ngày 01 tháng 01 năm 2024,91.892.225.702,91.892.225.702,91892225702.0,91892225702.0
Ngày 31 tháng 12 năm 2024,Giá trị còn lại > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,108.116.649.971,108.116.649.971,108116649971.0,108116649971.0
Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,,
,,,Số cuối năm,Đơn vị tính: VNDSố đầu năm,,
Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,Các thông tin khác về tài sản cố định vô hình: > Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,117.523.052.871,67.983.617.650,117523052871.0,67983617650.0
