row_label_raw,row_label_full,col_0,Share capital,Share premium,Treasury shares,Difference from revaluation of assets at fair value,Charter capital supplementary reserve,Undistributed profit,Total,numeric__Share capital,numeric__Share premium,numeric__Treasury shares,numeric__Difference from revaluation of assets at fair value,numeric__Charter capital supplementary reserve,numeric__Undistributed profit,numeric__Total
Beginning balance,Beginning balance,Beginning balance,"15,011,301,370,000","3,299,208,472,644","(19,115,006,409)","(3,793,033,106)","58,252,419,507","4,238,605,402,631","22,584,459,625,267",,,,,,,
Issuance of shares to increase capital under the employee stock ownership plan according to Resolution No. 01/2023/NQ-DHDCD dated 25 April 2023 of the General Meeting of Shareholders,Issuance of shares to increase capital under the employee stock ownership plan according to Resolution No. 01/2023/NQ-DHDCD dated 25 April 2023 of the General Meeting of Shareholders,Issuance of shares to increase capital under the employee stock ownership plan according to Resolution No. 01/2023/NQ-DHDCD dated 25 April 2023 of the General Meeting of Shareholders,"100,000,000,000",-,-,-,-,-,"100,000,000,000",,,,,,,
Welfare (2% profit after tax) and bonus fund (5% profit after tax) reserve according to Resolution No. 01/2024/NQ-DHDCD dated 25 April 2024 of the General Meeting of Shareholders,Welfare (2% profit after tax) and bonus fund (5% profit after tax) reserve according to Resolution No. 01/2024/NQ-DHDCD dated 25 April 2024 of the General Meeting of Shareholders,Welfare (2% profit after tax) and bonus fund (5% profit after tax) reserve according to Resolution No. 01/2024/NQ-DHDCD dated 25 April 2024 of the General Meeting of Shareholders,-,-,-,-,-,"(152,662,804,998)","(152,662,804,998)",,,,,,,
SSI dividend 2023 according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-DHDCD dated 04/09/2024,SSI dividend 2023 according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-DHDCD dated 04/09/2024,SSI dividend 2023 according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-DHDCD dated 04/09/2024,-,-,-,-,-,"(1,509,138,669,000)","(1,509,138,669,000)",,,,,,,
Issuance of shares to increase equity capital and public offering according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-HDQT dated 04/09/2024,Issuance of shares to increase equity capital and public offering according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-HDQT dated 04/09/2024,Issuance of shares to increase equity capital and public offering according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-HDQT dated 04/09/2024,"4,527,337,810,000","(2,205,377,385,493)",-,-,"(58,252,419,507)",-,"2,263,708,005,000",,,,,,,
Issuance service costs,Issuance service costs,Issuance service costs,-,"(290,166,634)",-,-,-,-,"(290,166,634)",,,,,,,
Net profit after tax,Net profit after tax,Net profit after tax,-,-,-,-,-,"2,680,437,253,431","2,680,437,253,431",,,,,,,
Other increase,Other increase,Other increase,-,-,-,-,-,"758,869,665","758,869,665",,,,,,,
Ending balance,Ending balance,Ending balance,"19,638,639,180,000","1,093,540,920,517","(19,115,006,409)","(3,793,033,106)",-,"5,258,000,051,729","25,967,272,112,731",,,,,,,
