row_label_raw,row_label_full,No.,Items,Beginning balance,Payable in the year,Paid in the year,Currency: VNDEnding balance,numeric__Items,numeric__Beginning balance,numeric__Payable in the year,numeric__Paid in the year,numeric__Currency: VNDEnding balance
I,I,I,Tax,"347,457,097,173","1,465,440,905,011","(1,623,087,720,108)","189,810,282,076",,,,,
1,1,1,Value added tax,"326,608,629","12,743,627,478","(12,075,329,899)","994,906,208",,,,,
2,2,2,Corporate income tax (Note 39.1),"279,017,935,788","675,509,748,874","(828,867,487,847)","125,660,196,815",,,,,
3,3,3,Other taxes,"68,112,552,756","777,187,528,659","(782,144,902,362)","63,155,179,053",,,,,
,,,Personal income tax,"19,045,872,344","130,874,908,727","(134,776,809,270)","15,143,971,801",,,,,
,,,Personal income tax on behalf of investors,"39,380,467,232","550,178,086,137","(548,489,361,996)","41,069,191,373",,,,,
,,,Business registration tax,-,"16,000,000","(16,000,000)",-,,,,,
,,,Others (foreign contractors withholding tax),"9,686,213,180","96,118,533,795","(98,862,731,096)","6,942,015,879",,,,,
II,II,II,Other obligatory payables,-,"2,639,775,317","(2,639,775,317)",-,,,,,
,,,Total,"347,457,097,173","1,468,080,680,328","(1,625,727,495,425)","189,810,282,076",,,,,
