row_label_raw,row_label_full,Mã số,NGUỒN VỐN,NGUỒN VỐN_1,Thuyết minh,31/12/2023VND,01/01/2023VND,numeric__NGUỒN VỐN,numeric__NGUỒN VỐN_1,numeric__Thuyết minh,numeric__31/12/2023VND,numeric__01/01/2023VND
300,300,300,C.,NỘ PHẢI TRẢ,,1.351.770.423.526,765.573.132.134,,,,1351770423526.0,765573132134.0
310,310,310,I.,Nợ ngắn hạn,,1.249.603.756.859,708.906.465.467,,,,1249603756859.0,708906465467.0
311,311,311,1.,Phải trả người bán ngắn hạn,16,2.895.648.351,937.637.267,1.0,,16.0,2895648351.0,937637267.0
313,313,313,2.,Thuế và các khoản phải nộp Nhà nước,18,709.843.129,523.083.705,2.0,,18.0,709843129.0,523083705.0
314,314,314,3.,Phải trả người lao động,,1.646.400.000,12.534.095.511,3.0,,,1646400000.0,12534095511.0
315,315,315,4.,Chi phí phải trả ngắn hạn,19,125.432.958.852,125.432.958.852,4.0,,19.0,125432958852.0,125432958852.0
318,318,318,5.,Doanh thu chưa thực hiện ngắn hạn,,60.500.000,60.500.000,5.0,,,60500000.0,60500000.0
319,319,319,6.,Phải trả ngắn hạn khác,20,710.741.589.052,532.957.922.241,6.0,,20.0,710741589052.0,532957922241.0
320,320,320,7.,Vay và nợ thuê tài chính ngắn hạn,17,390.000.000.000,25.000.000.000,7.0,,17.0,390000000000.0,25000000000.0
322,322,322,8.,Quỹ khen thưởng phúc lợi,,18.116.817.475,11.460.267.891,8.0,,,18116817475.0,11460267891.0
330,330,330,II.,Nợ dài hạn,,102.166.666.667,56.666.666.667,,,,102166666667.0,56666666667.0
337,337,337,1.,Phải trả dài hạn khác,20,56.666.666.667,56.666.666.667,1.0,,20.0,56666666667.0,56666666667.0
338,338,338,2.,Vay và nợ thuê tài chính dài hạn,17,45.500.000.000,-,2.0,,17.0,45500000000.0,
400,400,400,D.,VỐN CHỦ SỞ HỮU,,3.301.939.703.252,3.410.888.342.425,,,,3301939703252.0,3410888342425.0
410,410,410,I.,Vốn chủ sở hữu,21,3.301.939.703.252,3.410.888.342.425,,,21.0,3301939703252.0,3410888342425.0
411,411,411,1.,Vốn góp của chủ sở hữu,,3.000.000.000.000,3.000.000.000.000,1.0,,,3000000000000.0,3000000000000.0
411a,411a,411a,,Cố phiếu phố thông có quyền biểu quyết,,3.000.000.000.000,3.000.000.000.000,,,,3000000000000.0,3000000000000.0
418,418,418,2.,Quỹ đầu tư phát triển,,29.078.979.932,20.742.708.787,2.0,,,29078979932.0,20742708787.0
421,421,421,3.,Lợi nhuận sau thuế chưa phân phối,,272.860.723.320,390.145.633.638,3.0,,,272860723320.0,390145633638.0
421a,421a,421a,,LNST chưa phân phối lũy kế đến cuối năm trước,,219.790.291.348,223.420.210.739,,,,219790291348.0,223420210739.0
421b,421b,421b,,LNST chưa phân phối năm nay,,53.070.431.972,166.725.422.899,,,,53070431972.0,166725422899.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,,4.653.710.126.778,4.176.461.474.559,,,,4653710126778.0,4176461474559.0
