row_label_raw,row_label_full,7 . PHẢI THU VỀ CHO VAY,7 . PHẢI THU VỀ CHO VAY_1,7 . PHẢI THU VỀ CHO VAY_2,7 . PHẢI THU VỀ CHO VAY_3,7 . PHẢI THU VỀ CHO VAY_4,7 . PHẢI THU VỀ CHO VAY_5,7 . PHẢI THU VỀ CHO VAY_6,7 . PHẢI THU VỀ CHO VAY_7,numeric__7 . PHẢI THU VỀ CHO VAY_1,numeric__7 . PHẢI THU VỀ CHO VAY_2,numeric__7 . PHẢI THU VỀ CHO VAY_3,numeric__7 . PHẢI THU VỀ CHO VAY_4,numeric__7 . PHẢI THU VỀ CHO VAY_5,numeric__7 . PHẢI THU VỀ CHO VAY_6,numeric__7 . PHẢI THU VỀ CHO VAY_7
,,,,01/01/2023,01/01/2023,Trong năm,Trong năm,31/12/2023,31/12/2023,,,,,,,
,,,,Giá trị,Dự phòng,Tăng,Giảm,Giá trị,Dự phòng,,,,,,,
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
a),a),a),Ngắn hạn,,,,,,,,,,,,,
a),a),a),Bên liên quan,,,,,,,,,,,,,
a),a) > a),a),- Công ty Cổ phần Đầu tư và Phát triển Tân Thành (1),175.347.102.061,-,-,26.800.000.000,148.547.102.061,(32.204.130.618),,175347102061.0,,,26800000000.0,148547102061.0,-32204130618.0
a),a) > a),a),,175.347.102.061,-,-,26.800.000.000,148.547.102.061,(32.204.130.618),,175347102061.0,,,26800000000.0,148547102061.0,-32204130618.0
b),b),b),Dài hạn,,,,,,,,,,,,,
b),b),b),Bên khác,,,,,,,,,,,,,
b),b) > b),b),- Công ty TNHH Du lịch D&M (2),9.896.049.652,-,-,-,9.896.049.652,-,,9896049652.0,,,,9896049652.0,
b),b) > b),b),,9.896.049.652,-,-,-,9.896.049.652,-,,9896049652.0,,,,9896049652.0,
c),c),c),Các khoản cho vay đối với các bên liên quan,Các khoản cho vay đối với các bên liên quan,Các khoản cho vay đối với các bên liên quan,Các khoản cho vay đối với các bên liên quan,Các khoản cho vay đối với các bên liên quan,Các khoản cho vay đối với các bên liên quan,Các khoản cho vay đối với các bên liên quan,,,,,,,
c),c),c),,,Mối quan hệ,31/12/2023,31/12/2023,01/01/2023,01/01/2023,,,,,,,
c),c),c),,,,Gốc,Lãi (*),Gốc,Lãi (*),,,,,,,
c),c),c),,,,VND,VND,VND,VND,,,,,,,
c),c) > c),c),- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,,Công ty liên kết,148.547.102.061,57.029.572.232,175.347.102.061,57.029.572.232,,,,148547102061.0,57029572232.0,175347102061.0,57029572232.0
