row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủsở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của Chủsở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,20.742.708.787,223.420.210.739,3.244.162.919.526,3000000000000.0,20742708787.0,223420210739.0,3244162919526.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,166.725.422.899,166.725.422.899,,,166725422899.0,166725422899.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,20.742.708.787,390.145.633.638,3.410.888.342.425,3000000000000.0,20742708787.0,390145633638.0,3410888342425.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.000.000.000.000,20.742.708.787,390.145.633.638,3.410.888.342.425,3000000000000.0,20742708787.0,390145633638.0,3410888342425.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,53.070.431.972,53.070.431.972,,,53070431972.0,53070431972.0
Chia cổ tức năm 2021 (2),Chia cổ tức năm 2021 (2),Chia cổ tức năm 2021 (2),-,-,(150.000.000.000),(150.000.000.000),,,-150000000000.0,-150000000000.0
Trích quỹ đầu tư phát triển (1),Trích quỹ đầu tư phát triển (1),Trích quỹ đầu tư phát triển (1),-,8.336.271.145,(8.336.271.145),-,,8336271145.0,-8336271145.0,
Trích quỹ khen thưởng phúc lợi(1),Trích quỹ khen thưởng phúc lợi(1),Trích quỹ khen thưởng phúc lợi(1),-,-,(8.336.271.145),(8.336.271.145),,,-8336271145.0,-8336271145.0
Trích quỹ thưởng ban điều hành(1),Trích quỹ thưởng ban điều hành(1),Trích quỹ thưởng ban điều hành(1),-,-,(486.000.000),(486.000.000),,,-486000000.0,-486000000.0
"Thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2022 (1)","Thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2022 (1)","Thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2022 (1)",-,-,(1.900.800.000),(1.900.800.000),,,-1900800000.0,-1900800000.0
"Thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021 (2)","Thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021 (2)","Thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021 (2)",-,-,(1.296.000.000),(1.296.000.000),,,-1296000000.0,-1296000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,29.078.979.932,272.860.723.320,3.301.939.703.252,3000000000000.0,29078979932.0,272860723320.0,3301939703252.0
