row_label_raw,row_label_full,col_0,col_1,Hạn mức,Thời hạn vay,Mục đích vay,Lãi suất,Hình thức đảm bảo,31/12/2023,numeric__col_1,numeric__Hạn mức,numeric__Thời hạn vay,numeric__Mục đích vay,numeric__Lãi suất,numeric__Hình thức đảm bảo,numeric__31/12/2023
,,,,Hạn mức,Thời hạn vay,Mục đích vay,Lãi suất,Hình thức đảm bảo,VND,,,,,,,
Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn:,,,,,,,
Bên liên quan,Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn: > Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,250.000.000.000,,,,,,,250000000000.0
(1),Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn: > (1),(1),Công ty TNHH MTV Quốc tế Protrade,,,,,,140.000.000.000,,,,,,,140000000000.0
(1.1),Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn: > (1.1),(1.1),Hợp đồng vay vốn số 01/2023/HĐVV ngày 15/03/2023,100.000.000.000 VND,12 tháng,Bổ sung vốn lưu động,"9,4%",Tín chấp,100.000.000.000,,,,,0.094,,100000000000.0
(1.2),Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn: > (1.2),(1.2),Hợp đồng vay vốn số 02/2023/HĐVV ngày 08/08/2023,70.000.000.000 VND,12 tháng,Bổ sung vốn lưu động,"9,4%",Tín chấp,30.000.000.000,,,,,0.094,,30000000000.0
(1.3),Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn: > (1.3),(1.3),Hợp đồng vay vốn số 02B/2023/HĐVV ngày 06/12/2023,10.000.000.000 VND,12 tháng,Bổ sung vốn lưu động,"7,3%",Tín chấp,10.000.000.000,,,,,0.073,,10000000000.0
(2),Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn: > (2),(2),Công ty TNHH Sân Golf Palm Sông Bé,,,,,,110.000.000.000,,,,,,,110000000000.0
(2.1),Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn: > (2.1),(2.1),Hợp đồng vay vốn số SBGR-TCTY/2023/079/2511/001 ngày 16/03/2023,20.000.000.000 VND,12 tháng,Bổ sung vốn lưu động,"9,4%",Tín chấp,20.000.000.000,,,,,0.094,,20000000000.0
(2.2),Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn: > (2.2),(2.2),Hợp đồng vay vốn số SBGR-TCTY/2023/107/2511/002 ngày 18/04/2023,20.000.000.000 VND,12 tháng,Bổ sung vốn lưu động,"9,4%",Tín chấp,20.000.000.000,,,,,0.094,,20000000000.0
(2.3),Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn: > (2.3),(2.3),Hợp đồng vay vốn số SBGR-TCTY/2023/227/1458/002 ngày 21/08/2023,30.000.000.000 VND,12 tháng,Bổ sung vốn lưu động,"8,9%",Tín chấp,30.000.000.000,,,,,0.08900000000000001,,30000000000.0
(2.4),Thông tin chỉ tiết liên quan đến các khoản vay ngắn hạn: > (2.4),(2.4),Hợp đồng vay vốn số SBGR-TCTY/2023/333/2511/015 ngày 07/12/2023,40.000.000.000 VND,12 tháng,Bổ sung vốn lưu động,"7,3%",Tín chấp,40.000.000.000,,,,,0.073,,40000000000.0
