row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nấmđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nấmđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2023 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,202.237.681.062,-,-,202.237.681.062,202237681062.0,,,202237681062.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2023 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",312.219.382.210,961.567.678.760,-,1.273.787.060.970,312219382210.0,961567678760.0,,1273787060970.0
Các khoản cho vay,Tại ngày 31/12/2023 > Các khoản cho vay,Các khoản cho vay,116.342.971.443,9.896.049.652,-,126.239.021.095,116342971443.0,9896049652.0,,126239021095.0
,,,630.800.034.715,971.463.728.412,-,1.602.263.763.127,630800034715.0,971463728412.0,,1602263763127.0
Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2023 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.212.973.847,-,-,5.212.973.847,5212973847.0,,,5212973847.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2023 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",331.502.223.495,60.023.000.000,-,391.525.223.495,331502223495.0,60023000000.0,,391525223495.0
Các khoản cho vay,Tại ngày 01/01/2023 > Các khoản cho vay,Các khoản cho vay,325.347.102.061,9.896.049.652,-,335.243.151.713,325347102061.0,9896049652.0,,335243151713.0
,,,662.062.299.403,69.919.049.652,-,731.981.349.055,662062299403.0,69919049652.0,,731981349055.0
