row_label_raw,row_label_full,col_0,col_1,Hạn mức,Thời hạn vay,Mục đích vay,Lãi suất,Hình thức đảm bảo,31/12/2023,numeric__col_1,numeric__Hạn mức,numeric__Thời hạn vay,numeric__Mục đích vay,numeric__Lãi suất,numeric__Hình thức đảm bảo,numeric__31/12/2023
,,,,Hạn mức,Thời hạn vay,Mục đích vay,Lãi suất,Hình thức đảm bảo,VND,,,,,,,
Bên khác,Bên khác,Bên khác,Bên khác,,,,,,140.000.000.000,,,,,,,140000000000.0
(3),(3),(3),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Bình Dương,,,,,,,,,,,,,
(3),(3) > (3),(3),Hợp đồng cấp hạn mức thấu chi số 02/2023/4486227/HĐTD ngày 25/12/2023,140.000.000.000 VND,1 tháng,Bổ sung vốn lưu động,"4,0%",Hợp đồng tiền gửi có kỳ hạn 140 tỷ VND,140.000.000.000,,,,,0.04,,140000000000.0
(3),(3) > (3),(3),Hợp đồng cấp hạn mức thấu chi số 02/2023/4486227/HĐTD ngày 25/12/2023,140.000.000.000 VND,1 tháng,Bổ sung vốn lưu động,"4,0%",Hợp đồng tiền gửi có kỳ hạn 140 tỷ VND,390.000.000.000,,,,,0.04,,390000000000.0
b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn:,,,,,,,
Bên liên quan,b) Thông tin chi tiết liên quan đến các khoản vay dài hạn: > Bên liên quan,Bên liên quan,Bên liên quan,,,,,,45.500.000.000,,,,,,,45500000000.0
(4),(4),(4),Công ty TNHH MTV Giấy Vĩnh Phú,,,,,,,,,,,,,
(4.1),(4) > (4.1),(4.1),Hợp đồng vay vốn số 03/2023/HĐVV ngày 28/08/2023,40.000.000.000 VND,24 tháng,Bổ sung vốn lưu động,"8,7%",Tín chấp,40.000.000.000,,,,,0.087,,40000000000.0
(4.2),(4) > (4.2),(4.2),Hợp đồng vay vốn số 04/2023/HĐVV ngày 25/12/2023,10.000.000.000 VND,24 tháng,Bổ sung vốn lưu động,"7,4%",Tín chấp,5.500.000.000,,,,,0.07400000000000001,,5500000000.0
(4.2),(4) > (4.2),(4.2),Hợp đồng vay vốn số 04/2023/HĐVV ngày 25/12/2023,10.000.000.000 VND,24 tháng,Bổ sung vốn lưu động,"7,4%",Tín chấp,45.500.000.000,,,,,0.07400000000000001,,45500000000.0
