row_label_raw,row_label_full,Thông tin chỉ tiết về các đơn vị nhận đầu tưTên Công ty nhận đầu tư,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
"- KP Apparel Manufacturing Co., Ltd","Công ty con > - KP Apparel Manufacturing Co., Ltd","- KP Apparel Manufacturing Co., Ltd",Vương quốc Campuchia,"100,00%","100,00%","Sản xuất hàng sợi, vải, may mặc",,1.0,1.0,
- Công ty TNHH MTV Giấy Vĩnh Phú,Công ty con > - Công ty TNHH MTV Giấy Vĩnh Phú,- Công ty TNHH MTV Giấy Vĩnh Phú,Tinh Bình Dương,"100,00%","100,00%","Sản xuất, kinh doanh sản phẩm từ giấy",,1.0,1.0,
- Công ty CP Thương mại Tổng hợp Thuận An,Công ty con > - Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,Tinh Bình Dương,"62,68%","62,68%",Kinh doanh thương mại,,0.6268,0.6268,
- Công ty TNHH MTV Quốc tế Protrade,Công ty con > - Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,Tinh Bình Dương,"100,00%","100,00%",Kinh doanh hạ tầng khu công nghiệp,,1.0,1.0,
- Công ty TNHH Sân Golf Palm Sông Bé,Công ty con > - Công ty TNHH Sân Golf Palm Sông Bé,- Công ty TNHH Sân Golf Palm Sông Bé,Tinh Bình Dương,"100,00%","100,00%",Kinh doanh dịch vụ golf,,1.0,1.0,
- Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty con > - Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Tinh Bình Dương,"50,50%","50,50%","Trồng, khai thác, chế biến mù cao su",,0.505,0.505,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
- Công ty CP Phát triển Phú Mỹ,Công ty liên kết > - Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,Tinh Bình Dương,"35,00%","35,00%","Kinh doanh bất động sản, dịch vụ golf",,0.35,0.35,
- Công ty TNHH FrieslandCampina Việt Nam,Công ty liên kết > - Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,Tinh Bình Dương,"30,00%","30,00%",Kinh doanh sữa và nước giải khát,,0.3,0.3,
- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Công ty liên kết > - Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Tinh Bình Dương,"24,00%","24,00%",Dịch vụ y tế,,0.24,0.24,
- Công ty CP Hưng Vượng,Công ty liên kết > - Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Tinh Bình Dương,"30,90%","30,90%","Sản xuất kinh doanh sản phẩm từ gỗ, kinh doanh hạ tầng khu công nghiệp",,0.309,0.309,
- Công ty TNHH YCH-PROTRADE,Công ty liên kết > - Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Tinh Bình Dương,"30,00%","30,00%",Kinh doanh dịch vụ logistic,,0.3,0.3,
- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết > - Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Tinh Bình Dương,"30,00%","30,00%","Kinh doanh bất động sản, dịch vụ golf",,0.3,0.3,
- Công ty CP May mặc Bình Dương,Công ty liên kết > - Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Tinh Bình Dương,"47,71%","47,71%",Sản xuất kinh doanh hàng may mặc,,0.4771,0.4771,
Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,,,,
- Công ty CP Cơ khí Vận tải Cao Su Dầu Tiếng,Đơn vị khác > - Công ty CP Cơ khí Vận tải Cao Su Dầu Tiếng,- Công ty CP Cơ khí Vận tải Cao Su Dầu Tiếng,Tinh Bình Dương,"2,10%","2,10%",Vận chuyển và gia công cơ khí,,0.021,0.021,
