row_label_raw,row_label_full,col_0,Vốn góp của chú sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chú sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,23.418.716.000.000,676.299.796.297,3.045.712.935.640,27.140.728.731.937,23418716000000.0,676299796297.0,3045712935640.0,27140728731937.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,1.584.470.291.627,1.584.470.291.627,,,1584470291627.0,1584470291627.0
Trích quỹ đầu tư phát triển từ lợi nhuận năm 2020,Trích quỹ đầu tư phát triển từ lợi nhuận năm 2020,Trích quỹ đầu tư phát triển từ lợi nhuận năm 2020,-,1.380.673.600.901,(1.380.673.600.901),-,,1380673600901.0,-1380673600901.0,
"Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020",-,-,(168.490.862.336),(168.490.862.336),,,-168490862336.0,-168490862336.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(468.374.320.000),(468.374.320.000),,,-468374320000.0,-468374320000.0
Kết chuyển lợi nhuận trước cổ phần hóa phải nộp về Tập đoàn,Kết chuyển lợi nhuận trước cổ phần hóa phải nộp về Tập đoàn,Kết chuyển lợi nhuận trước cổ phần hóa phải nộp về Tập đoàn,,,(1.028.174.152.403),(1.028.174.152.403),,,-1028174152403.0,-1028174152403.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,23.418.716.000.000,2.056.973.397.198,1.584.470.291.627,27.060.159.688.825,23418716000000.0,2056973397198.0,1584470291627.0,27060159688825.0
Lợi nhuận trong năm (i),Lợi nhuận trong năm (i),Lợi nhuận trong năm (i),-,-,967.954.921.849,967.954.921.849,,,967954921849.0,967954921849.0
Trích quỹ đầu tư phát triển từ lợi nhuận năm 2021 (ii),Trích quỹ đầu tư phát triển từ lợi nhuận năm 2021 (ii),Trích quỹ đầu tư phát triển từ lợi nhuận năm 2021 (ii),-,1.436.899.454.239,(1.436.899.454.239),-,,1436899454239.0,-1436899454239.0,
"Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (iii)","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (iii)","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (iii)",-,-,(147.570.837.388),(147.570.837.388),,,-147570837388.0,-147570837388.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,23.418.716.000.000,3.493.872.851.437,967.954.921.849,27.880.543.773.286,23418716000000.0,3493872851437.0,967954921849.0,27880543773286.0
