row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND > Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,19.131.991.771.750,15.202.293.270.378,,100.0,,19131991771750.0,15202293270378.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,7.524.395.202.881,7.885.359.062.265,,110.0,4.0,7524395202881.0,7885359062265.0
1.,1.,1.,Tiền,111,,409.395.202.881,107.359.062.265,,111.0,,409395202881.0,107359062265.0
2.,2.,2.,Các khoản tương đương tiền,112,,7.115.000.000.000,7.778.000.000.000,,112.0,,7115000000000.0,7778000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,239.904.066.512,511.619.227.215,,120.0,5.0,239904066512.0,511619227215.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,239.904.066.512,511.619.227.215,,123.0,,239904066512.0,511619227215.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,9.244.180.922.507,3.329.451.419.368,,130.0,,9244180922507.0,3329451419368.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,6.486.261.440.196,2.931.007.472.167,,131.0,6.0,6486261440196.0,2931007472167.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,2.045.837.097.908,125.853.091.025,,132.0,7.0,2045837097908.0,125853091025.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,762.512.184.384,346.792.188.076,,136.0,8.0,762512184384.0,346792188076.0
4.,4.,4.,Dư phòng phải thu ngắn hạn khó đòi,137,9,(50.429.799.981),(74.201.331.900),,137.0,9.0,-50429799981.0,-74201331900.0
IV.,IV.,IV.,Hàng tồn kho,140,10,1.734.828.617.340,1.490.851.123.911,,140.0,10.0,1734828617340.0,1490851123911.0
1.,1.,1.,Hàng tồn kho,141,,1.734.828.617.340,1.490.851.123.911,,141.0,,1734828617340.0,1490851123911.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,388.682.962.510,1.985.012.437.619,,150.0,,388682962510.0,1985012437619.0
1.,1.,1.,Chỉ phí trả trước ngắn hạn,151,11,70.100.480.526,1.603.318.210.637,,151.0,11.0,70100480526.0,1603318210637.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,318.582.481.984,246.661.319.903,,152.0,,318582481984.0,246661319903.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,17,,135.032.907.079,,153.0,17.0,,135032907079.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,26.974.810.198.588,28.072.155.111.278,,200.0,,26974810198588.0,28072155111278.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,369.167.000,260.303.000,,210.0,,369167000.0,260303000.0
1.,1.,1.,Phải thu dài hạn khác,216,8,369.167.000,260.303.000,,216.0,8.0,369167000.0,260303000.0
II.,II.,II.,Tài sản cố định,220,,19.607.314.211.903,21.137.269.667.319,,220.0,,19607314211903.0,21137269667319.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,19.597.407.713.694,21.125.398.859.945,,221.0,12.0,19597407713694.0,21125398859945.0
,,,- Nguyên giá,222,,47.238.942.477.270,47.162.692.794.333,,222.0,,47238942477270.0,47162692794333.0
,,,- Giố trị hao mòn lũy kế,223,,(27.641.534.763.576),(26.037.293.934.388),,223.0,,-27641534763576.0,-26037293934388.0
2.,2.,2.,Tài sản cố định vô hình,227,13,9.906.498.209,11.870.807.374,,227.0,13.0,9906498209.0,11870807374.0
,,,- Nguyên giá,228,,60.587.439.483,58.619.439.483,,228.0,,60587439483.0,58619439483.0
,,,- Giố trị hao mòn lũy kế,229,,(50.680.941.274),(46.748.632.109),,229.0,,-50680941274.0,-46748632109.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,903.139.541.251,370.014.720.362,,240.0,,903139541251.0,370014720362.0
1.,1.,1.,Chỉ phí xây dựng cơ bản dở dang,242,14,903.139.541.251,370.014.720.362,,242.0,14.0,903139541251.0,370014720362.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,,5,5.686.162.134.699,5.694.394.270.170,,,5.0,5686162134699.0,5694394270170.0
1.,1.,1.,Đầu tư vào công ty con,251,,4.994.478.439.397,4.994.478.439.397,,251.0,,4994478439397.0,4994478439397.0
2.,2.,2.,Đầu tư vào công ty liên kết,252,,335.182.801.000,335.182.801.000,,252.0,,335182801000.0,335182801000.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,394.315.456.500,397.393.456.500,,253.0,,394315456500.0,397393456500.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(37.814.562.198),(32.660.426.727),,254.0,,-37814562198.0,-32660426727.0
V.,V.,V.,Tài sản dài hạn khác,260,,777.825.143.735,870.216.150.427,,260.0,,777825143735.0,870216150427.0
1.,1.,1.,Chỉ phí trả trước dài hạn,261,11,96.771.303.136,87.411.812.269,,261.0,11.0,96771303136.0,87411812269.0
2.,2.,2.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,15,681.053.840.599,782.804.338.158,,263.0,15.0,681053840599.0,782804338158.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,46.106.801.970.338,43.274.448.381.656,,270.0,,46106801970338.0,43274448381656.0
