row_label_raw,row_label_full,Ông Lẻ Như Linh,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Nguyễn Duy Giang,Ông Nguyễn Duy Giang,Ông Nguyễn Duy Giang,Phó Tổng Giám đốc,
Ông Nguyễn Mạnh Tường,Ông Nguyễn Mạnh Tường,Ông Nguyễn Mạnh Tường,Phó Tổng Giám đốc,
Ông Nguyễn Minh Đạo,Ông Nguyễn Minh Đạo,Ông Nguyễn Minh Đạo,Phó Tổng Giám đốc,
Ông Nguyễn Kiên,Ông Nguyễn Kiên,Ông Nguyễn Kiên,Phó Tổng Giám đốc,
Ông Phan Ngọc Hiền,Ông Phan Ngọc Hiền,Ông Phan Ngọc Hiền,Phó Tổng Giám đốc,
Ông Ngô Văn Chiến,Ông Ngô Văn Chiến,Ông Ngô Văn Chiến,Phó Tổng Giám đốc (Bố nhiệm ngày 26 tháng 10 năm 2022),
Bà Nguyễn Thị Ngọc Bích,Bà Nguyễn Thị Ngọc Bích,Bà Nguyễn Thị Ngọc Bích,Phó Tổng Giám đốc (Miễn nhiệm ngày 21 tháng 4 năm 2022),
