row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > VND Dự phòng,Số cuối năm > Giá gốc_1,Số cuối năm > Giá trị hợp lý_1,Số đầu năm > VND Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > VND Dự phòng,numeric__Số cuối năm > Giá gốc_1,numeric__Số cuối năm > Giá trị hợp lý_1,numeric__Số đầu năm > VND Dự phòng
b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,,,,,,
Công ty Cố phần Thủy điện Hủa Na (ii),b1. Đầu tư vào công ty con > Công ty Cố phần Thủy điện Hủa Na (ii),Công ty Cố phần Thủy điện Hủa Na (ii),1.898.727.600.000,3.227.836.920.000,-,1.898.727.600.000,2.658.218.640.000,-,1898727600000.0,3227836920000.0,,1898727600000.0,2658218640000.0,
Công ty Cố phần Điện lực Dầu khí,b1. Đầu tư vào công ty con > Công ty Cố phần Điện lực Dầu khí,Công ty Cố phần Điện lực Dầu khí,1.883.540.039.397,4.931.217.408.000,-,1.883.540.039.397,4.204.781.568.000,-,1883540039397.0,4931217408000.0,,1883540039397.0,4204781568000.0,
Nhơn Trạch 2 (i),Nhơn Trạch 2 (i),Nhơn Trạch 2 (i),Nhơn Trạch 2 (i),Nhơn Trạch 2 (i),Nhơn Trạch 2 (i),Nhơn Trạch 2 (i),Nhơn Trạch 2 (i),Nhơn Trạch 2 (i),,,,,,
Công ty Cố phần Thủy điện Đakdrinh (iii),Nhơn Trạch 2 (i) > Công ty Cố phần Thủy điện Đakdrinh (iii),Công ty Cố phần Thủy điện Đakdrinh (iii),1.105.110.800.000,,-,1.105.110.800.000,,-,1105110800000.0,,,1105110800000.0,,
Công ty Cố phần Dịch vụ Kỹ thuật Điện lực,Nhơn Trạch 2 (i) > Công ty Cố phần Dịch vụ Kỹ thuật Điện lực,Công ty Cố phần Dịch vụ Kỹ thuật Điện lực,76.500.000.000,76.500.000.000,-,76.500.000.000,94.707.000.000,-,76500000000.0,76500000000.0,,76500000000.0,94707000000.0,
Dầu khí Việt Nam (i),Dầu khí Việt Nam (i),Dầu khí Việt Nam (i),Dầu khí Việt Nam (i),Dầu khí Việt Nam (i),Dầu khí Việt Nam (i),Dầu khí Việt Nam (i),Dầu khí Việt Nam (i),Dầu khí Việt Nam (i),,,,,,
Công ty Cố phần Năng lượng tái tạo Điện lực,Dầu khí Việt Nam (i) > Công ty Cố phần Năng lượng tái tạo Điện lực,Công ty Cố phần Năng lượng tái tạo Điện lực,30.600.000.000,,13.038.405.571,30.600.000.000,,8.300.645.374,30600000000.0,,13038405571.0,30600000000.0,,8300645374.0
Dầu khí (iii),Dầu khí (iii),Dầu khí (iii),Dầu khí (iii),Dầu khí (iii),Dầu khí (iii),Dầu khí (iii),Dầu khí (iii),Dầu khí (iii),,,,,,
,,,4.994.478.439.397,,13.038.405.571,4.994.478.439.397,,8.300.645.374,4994478439397.0,,13038405571.0,4994478439397.0,,8300645374.0
b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,,,,,,
Công ty Cố phần Thủy điện Năm Chiến (iii),b2. Đầu tư vào công ty liên kết > Công ty Cố phần Thủy điện Năm Chiến (iii),Công ty Cố phần Thủy điện Năm Chiến (iii),302.295.301.000,,-,302.295.301.000,,-,302295301000.0,,,302295301000.0,,
Công ty Cố phần Năng lượng Sống Hồng (iii),b2. Đầu tư vào công ty liên kết > Công ty Cố phần Năng lượng Sống Hồng (iii),Công ty Cố phần Năng lượng Sống Hồng (iii),32.887.500.000,,-,32.887.500.000,,-,32887500000.0,,,32887500000.0,,
,,,335.182.801.000,,-,335.182.801.000,,-,335182801000.0,,,335182801000.0,,
b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,,,,,,
