row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,6.384.309.136.390,38.228.116.684.154,240.876.675.084,173.586.188.585,2.135.804.110.120,47.162.692.794.333,6384309136390.0,38228116684154.0,240876675084.0,173586188585.0,2135804110120.0,47162692794333.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,837.075.705,7.098.397.260,10.416.754.014,17.413.076.615,581.144.544,36.346.448.138,837075705.0,7098397260.0,10416754014.0,17413076615.0,581144544.0,36346448138.0
Tăng do năng cấp,NGUYÊN GIÁ > Tăng do năng cấp,Tăng do năng cấp,-,15.898.855.591,-,-,-,15.898.855.591,,15898855591.0,,,,15898855591.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,10.746.381.991,15.557.272.727,869.660.250,345.938.299,-,27.519.253.267,10746381991.0,15557272727.0,869660250.0,345938299.0,,27519253267.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(218.880.000),(3.212.210.807),(83.783.252),-,(3.514.874.059),,-218880000.0,-3212210807.0,-83783252.0,,-3514874059.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.395.892.594.086,38.266.452.329.732,248.950.878.541,191.261.420.247,2.136.385.254.664,47.238.942.477.270,6395892594086.0,38266452329732.0,248950878541.0,191261420247.0,2136385254664.0,47238942477270.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số đầu năm,Số đầu năm,2.581.074.503.207,22.615.536.911.222,194.936.215.565,111.828.245.238,533.918.059.156,26.037.293.934.388,2581074503207.0,22615536911222.0,194936215565.0,111828245238.0,533918059156.0,26037293934388.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,282.137.055.712,1.208.286.331.079,10.209.732.997,16.903.108.443,89.538.777.269,1.607.075.005.500,282137055712.0,1208286331079.0,10209732997.0,16903108443.0,89538777269.0,1607075005500.0
Trích khấu hao vào xây dựng đó dang,GIÁ TRỊ HAO MÔN LỦY KẾ > Trích khấu hao vào xây dựng đó dang,Trích khấu hao vào xây dựng đó dang,-,-,264.335.600,416.362.147,-,680.697.747,,,264335600.0,416362147.0,,680697747.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(218.880.000),(3.212.210.807),(83.783.252),-,(3.514.874.059),,-218880000.0,-3212210807.0,-83783252.0,,-3514874059.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.863.211.558.919,23.823.604.362.301,202.198.073.355,129.063.932.576,623.456.836.425,27.641.534.763.576,2863211558919.0,23823604362301.0,202198073355.0,129063932576.0,623456836425.0,27641534763576.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.803.234.633.183,15.612.579.772.932,45.940.459.519,61.757.943.347,1.601.886.050.964,21.125.398.859.945,3803234633183.0,15612579772932.0,45940459519.0,61757943347.0,1601886050964.0,21125398859945.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.532.681.035.167,14.442.847.967.431,46.752.805.186,62.197.487.671,1.512.928.418.239,19.597.407.713.694,3532681035167.0,14442847967431.0,46752805186.0,62197487671.0,1512928418239.0,19597407713694.0
