row_label_raw,row_label_full,col_0,Số cuối năm > Giả trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giả trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,1.169.127.774.507,1.169.127.774.507,585.447.884.141,585.447.884.141,1169127774507.0,1169127774507.0,585447884141.0,585447884141.0
Tổng Công ty Lắp máy Việt Nam - CTCP,Tổng Công ty Lắp máy Việt Nam - CTCP,Tổng Công ty Lắp máy Việt Nam - CTCP,303.435.720.000,303.435.720.000,-,-,303435720000.0,303435720000.0,,
Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,207.651.863.834,207.651.863.834,50.608.197.817,50.608.197.817,207651863834.0,207651863834.0,50608197817.0,50608197817.0
Công ty Cố phần Khoáng sản Đan Ka,Công ty Cố phần Khoáng sản Đan Ka,Công ty Cố phần Khoáng sản Đan Ka,85.301.097.331,85.301.097.331,-,-,85301097331.0,85301097331.0,,
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,60.727.069.373,60.727.069.373,79.072.318.889,79.072.318.889,60727069373.0,60727069373.0,79072318889.0,79072318889.0
Tổng Công ty Cố phần Bảo hiểm Dầu khí Việt Nam,Tổng Công ty Cố phần Bảo hiểm Dầu khí Việt Nam,Tổng Công ty Cố phần Bảo hiểm Dầu khí Việt Nam,15.437.206.988,15.437.206.988,64.348.950.882,64.348.950.882,15437206988.0,15437206988.0,64348950882.0,64348950882.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,496.574.816.981,496.574.816.981,391.418.416.553,391.418.416.553,496574816981.0,496574816981.0,391418416553.0,391418416553.0
b. Phải trả người bán là các bên liên quan (Chỉ tiết tại Thuyết minh số 36),b. Phải trả người bán là các bên liên quan (Chỉ tiết tại Thuyết minh số 36),b. Phải trả người bán là các bên liên quan (Chỉ tiết tại Thuyết minh số 36),5.411.378.369.581,5.411.378.369.581,5.498.415.811.210,5.498.415.811.210,5411378369581.0,5411378369581.0,5498415811210.0,5498415811210.0
Tập đoàn Dầu khí Việt Nam (i),Tập đoàn Dầu khí Việt Nam (i),Tập đoàn Dầu khí Việt Nam (i),4.373.551.218.808,4.373.551.218.808,3.246.105.466.237,3.246.105.466.237,4373551218808.0,4373551218808.0,3246105466237.0,3246105466237.0
Tổng Công ty Khí Việt Nam - Công ty Cố phần,Tổng Công ty Khí Việt Nam - Công ty Cố phần,Tổng Công ty Khí Việt Nam - Công ty Cố phần,756.694.608.810,756.694.608.810,1.963.751.227.988,1.963.751.227.988,756694608810.0,756694608810.0,1963751227988.0,1963751227988.0
Công ty Cố phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cố phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cố phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,262.262.367.614,262.262.367.614,252.615.788.509,252.615.788.509,262262367614.0,262262367614.0,252615788509.0,252615788509.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,18.870.174.349,18.870.174.349,35.943.328.476,35.943.328.476,18870174349.0,18870174349.0,35943328476.0,35943328476.0
,,,6.580.506.144.088,6.580.506.144.088,6.083.863.695.351,6.083.863.695.351,6580506144088.0,6580506144088.0,6083863695351.0,6083863695351.0
